Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,AmazonNovaPremier,ToDoApp_ReactJS,high,avg,1,4441,0,2000,36.47,2.0,0.91,1.99,0.0,2.0,1.82
code_translation,solution_migration,jQueryToReact,jQuery,AmazonNovaPremier,ToDoApp_jQuery,high,low,1,3157,0,1748,32.95,2.11,1.0,2.22,1.0,2.0,0.99
code_translation,solution_migration,AngularToReact,Angular,AmazonNovaPremier,AngularCosmoPage,avg,high,1,7164,0,1485,34.38,2.5,0.0,3.0,0.0,2.0,0.0
code_translation,solution_migration,UpdateReact,React,AmazonNovaPremier,ToDoApp_ReactJS,high,avg,1,4414,0,1230,25.09,2.0,0.48,2.0,0.0,2.0,0.97
code_translation,solution_migration,UpdateAngular,Angular,AmazonNovaPremier,ToDoApp_AngularJS,avg,avg_2,1,3497,0,1488,28.94,3.5,0.42,3.0,0.85,4.0,0.0
code_translation,solution_migration,ReactToAngular,React,AmazonNovaPremier,ReactSignUp,high,low,1,1772,0,1685,28.39,3.36,2.53,3.0,2.06,3.73,3.0
code_translation,solution_migration,VanillaToReact,NativeJS,AmazonNovaPremier,Piano_NativeJS,high,low,1,1968,0,1641,27.68,4.0,2.84,4.0,2.68,4.0,3.0
code_generation,component_generation,ModifyReactApp,React,AmazonNovaPremier,ReactFetchAPI,avg,low,1,657,0,1056,17.85,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateBaseComponent,none,AmazonNovaPremier,none,none,none,1,297,0,1472,23.36,4.0,2.52,4.0,2.15,4.0,2.9
code_generation,component_generation,GenerateReactApp,none,AmazonNovaPremier,none,none,none,1,310,0,1102,16.63,4.0,3.5,4.0,4.0,4.0,3.0
code_generation,test_generation,WriteTestsForLegacyCode,React,AmazonNovaPremier,ReactSignUp,high,low,1,1741,0,1131,21.88,3.0,1.5,3.0,2.0,3.0,1.0
code_generation,test_generation,WriteTestsForLegacyCode,React,AmazonNovaPremier,ToDoApp_ReactJS,high,avg,1,4430,0,1116,23.79,3.0,0.47,3.0,0.9,3.0,0.04
code_generation,test_generation,WriteTestsForLegacyCode,Angular,AmazonNovaPremier,AngularCosmoPage,avg,high,1,7031,0,1103,24.79,3.45,0.02,4.0,0.04,2.9,0.0
code_generation,test_generation,WriteTestsForActualCode,React,AmazonNovaPremier,ReactSelect,extra_high,high,1,19435,0,1061,47.33,2.79,1.5,2.56,2.0,3.02,1.0
code_generation,solution_template_generation,GenerateProjectConfiguration,none,AmazonNovaPremier,none,none,none,1,278,0,1251,20.48,3.0,2.99,3.0,2.98,3.0,3.0
code_documentation,code_analysis,EvaluateCodeQuality,React,AmazonNovaPremier,ReactSignUp,high,low,1,1706,0,974,16.87,2.84,3.49,3.0,4.0,2.68,2.98
code_documentation,code_analysis,EvaluateCodeQuality,React,AmazonNovaPremier,ToDoApp_ReactJS,high,avg,1,4373,0,940,20.18,2.0,2.08,2.0,2.15,2.0,2.0
code_documentation,code_analysis,EvaluateCodeQuality,Angular,AmazonNovaPremier,AngularCosmoPage,avg,high,1,7000,0,1057,25.38,4.0,1.5,4.0,2.0,4.0,1.0
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,AmazonNovaPremier,AngularCosmoPage,avg,high,1,6947,0,931,24.12,1.98,1.98,1.97,1.96,2.0,2.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,AmazonNovaPremier,ReactSignUp,high,low,1,1687,0,856,16.39,4.0,3.16,4.0,3.32,4.0,3.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,AmazonNovaPremier,ToDoApp_ReactJS,high,avg,1,4330,0,745,17.58,4.0,2.0,4.0,2.0,4.0,2.0
code_documentation,solution_documentation,BusinessFunctionality,React,AmazonNovaPremier,ReactSignUp,high,low,1,1654,0,1085,17.33,1.98,2.32,1.95,2.95,2.0,1.68
code_documentation,solution_documentation,BusinessFunctionality,React,AmazonNovaPremier,ToDoApp_ReactJS,high,avg,1,4283,0,920,23.99,3.98,3.96,3.98,3.98,3.98,3.94
code_documentation,solution_documentation,BusinessFunctionality,Angular,AmazonNovaPremier,AngularCosmoPage,avg,high,1,6939,0,819,21.13,4.0,2.81,4.0,2.62,4.0,3.0
