Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,AmazonNovaPro,ToDoApp_ReactJS,high,avg,1,3958,0,2000,23.67,1.05,1.0,1.0,1.0,1.1,1.0
code_translation,solution_migration,jQueryToReact,jQuery,AmazonNovaPro,ToDoApp_jQuery,high,low,1,2839,0,2000,22.32,1.54,1.13,1.08,1.08,2.0,1.18
code_translation,solution_migration,AngularToReact,Angular,AmazonNovaPro,AngularCosmoPage,avg,high,1,6513,0,2592,30.72,3.5,1.0,4.0,1.0,3.0,1.0
code_translation,solution_migration,UpdateReact,React,AmazonNovaPro,ToDoApp_ReactJS,high,avg,1,3933,0,2000,24.93,1.41,1.54,1.32,0.0,1.5,3.08
code_translation,solution_migration,UpdateAngular,Angular,AmazonNovaPro,ToDoApp_AngularJS,avg,avg_2,1,2693,0,2000,23.73,3.5,1.94,4.0,0.0,3.0,3.88
code_translation,solution_migration,ReactToAngular,React,AmazonNovaPro,ReactSignUp,high,low,1,1556,0,2000,23.29,3.08,2.45,3.0,1.9,3.15,3.0
code_translation,solution_migration,VanillaToReact,NativeJS,AmazonNovaPro,Piano_NativeJS,high,low,1,1811,0,2000,25.08,3.78,3.0,4.0,4.0,3.56,2.0
code_generation,component_generation,ModifyReactApp,React,AmazonNovaPro,ReactFetchAPI,avg,low,1,592,0,874,10.23,2.13,3.48,2.04,2.95,2.22,4.0
code_generation,component_generation,GenerateBaseComponent,none,AmazonNovaPro,none,none,none,1,282,0,1265,14.41,4.0,2.81,4.0,2.62,4.0,3.0
code_generation,component_generation,GenerateReactApp,none,AmazonNovaPro,none,none,none,1,294,0,861,10.1,3.5,4.0,3.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,React,AmazonNovaPro,ReactSignUp,high,low,1,1532,0,1639,18.72,4.0,3.1,4.0,3.27,4.0,2.92
code_generation,test_generation,WriteTestsForLegacyCode,React,AmazonNovaPro,ToDoApp_ReactJS,high,avg,1,3945,0,2000,24.95,3.0,1.0,3.0,1.0,3.0,1.0
code_generation,test_generation,WriteTestsForLegacyCode,Angular,AmazonNovaPro,AngularCosmoPage,avg,high,1,6385,0,1428,19.21,3.03,0.01,3.0,0.02,3.06,0.0
code_generation,test_generation,WriteTestsForActualCode,React,AmazonNovaPro,ReactSelect,extra_high,high,1,17060,0,2057,37.49,2.52,1.05,1.99,1.1,3.06,1.0
code_generation,solution_template_generation,GenerateProjectConfiguration,none,AmazonNovaPro,none,none,none,1,267,0,1695,19.12,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,AmazonNovaPro,ReactSignUp,high,low,1,1496,0,2000,22.0,3.81,2.81,4.0,2.62,3.62,3.0
code_documentation,code_analysis,EvaluateCodeQuality,React,AmazonNovaPro,ToDoApp_ReactJS,high,avg,1,3890,0,1655,19.31,1.0,1.59,1.0,2.0,1.01,1.18
code_documentation,code_analysis,EvaluateCodeQuality,Angular,AmazonNovaPro,AngularCosmoPage,avg,high,1,6351,0,1299,13.89,4.0,0.64,4.0,1.0,4.0,0.27
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,AmazonNovaPro,AngularCosmoPage,avg,high,1,6303,0,932,10.82,1.5,1.5,1.01,1.01,2.0,1.99
code_documentation,code_explanation,DescribeTechnicalImplementation,React,AmazonNovaPro,ReactSignUp,high,low,1,1477,0,873,10.89,4.0,3.44,4.0,3.88,4.0,3.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,AmazonNovaPro,ToDoApp_ReactJS,high,avg,1,3853,0,821,9.6,3.52,2.97,3.05,3.0,4.0,2.94
code_documentation,solution_documentation,BusinessFunctionality,React,AmazonNovaPro,ReactSignUp,high,low,1,1450,0,1428,19.2,2.56,3.0,3.0,3.0,2.12,3.0
code_documentation,solution_documentation,BusinessFunctionality,React,AmazonNovaPro,ToDoApp_ReactJS,high,avg,1,3811,0,1144,13.52,3.52,2.5,3.22,3.0,3.82,2.0
code_documentation,solution_documentation,BusinessFunctionality,Angular,AmazonNovaPro,AngularCosmoPage,avg,high,1,6297,0,1355,19.06,4.0,2.01,4.0,2.08,4.0,1.94
