Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,ChatGPT4o,ToDoApp_ReactJS,high,avg,1,3534,0,3320,27.22,1.96,3.86,1.92,4.0,2.01,3.73
code_translation,solution_migration,jQueryToReact,jQuery,ChatGPT4o,ToDoApp_jQuery,high,low,1,2555,0,3014,17.36,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,AngularToReact,Angular,ChatGPT4o,AngularCosmoPage,avg,high,1,5785,0,2756,17.73,2.58,1.0,2.15,1.01,3.0,1.0
code_translation,solution_migration,UpdateReact,React,ChatGPT4o,ToDoApp_ReactJS,high,avg,1,3513,0,2953,24.23,3.99,4.0,3.98,4.0,3.99,4.0
code_translation,solution_migration,UpdateAngular,Angular,ChatGPT4o,ToDoApp_AngularJS,avg,avg_2,1,2505,0,2758,19.6,4.0,3.5,4.0,4.0,4.0,3.0
code_translation,solution_migration,ReactToAngular,React,ChatGPT4o,ReactSignUp,high,low,1,1486,0,1991,12.93,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,VanillaToReact,NativeJS,ChatGPT4o,Piano_NativeJS,high,low,1,1670,0,2374,13.93,3.61,4.0,4.0,4.0,3.22,4.0
code_generation,component_generation,ModifyReactApp,React,ChatGPT4o,ReactFetchAPI,avg,low,1,571,0,1317,12.91,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateBaseComponent,none,ChatGPT4o,none,none,none,1,290,0,1790,15.34,4.0,3.5,4.0,4.0,4.0,3.01
code_generation,component_generation,GenerateReactApp,none,ChatGPT4o,none,none,none,1,300,0,1092,7.8,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,React,ChatGPT4o,ReactSignUp,high,low,1,1473,0,1941,14.87,4.0,3.61,4.0,4.0,4.0,3.22
code_generation,test_generation,WriteTestsForLegacyCode,React,ChatGPT4o,ToDoApp_ReactJS,high,avg,1,3526,0,2241,20.14,3.84,1.01,3.68,1.0,4.0,1.02
code_generation,test_generation,WriteTestsForLegacyCode,Angular,ChatGPT4o,AngularCosmoPage,avg,high,1,5663,0,2115,15.74,3.5,1.99,4.0,1.99,3.01,1.99
code_generation,test_generation,WriteTestsForActualCode,React,ChatGPT4o,ReactSelect,extra_high,high,1,16067,0,2244,18.59,3.16,2.5,3.0,4.0,3.32,1.0
code_generation,solution_template_generation,GenerateProjectConfiguration,none,ChatGPT4o,none,none,none,1,276,0,2064,14.65,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,ChatGPT4o,ReactSignUp,high,low,1,1437,0,1973,14.03,3.56,3.52,4.0,4.0,3.12,3.05
code_documentation,code_analysis,EvaluateCodeQuality,React,ChatGPT4o,ToDoApp_ReactJS,high,avg,1,3479,0,1658,14.52,3.99,3.01,4.0,3.0,3.98,3.02
code_documentation,code_analysis,EvaluateCodeQuality,Angular,ChatGPT4o,AngularCosmoPage,avg,high,1,5629,0,1944,14.27,4.0,1.63,4.0,1.99,4.0,1.27
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,ChatGPT4o,AngularCosmoPage,avg,high,1,5581,0,1520,16.78,2.02,4.0,2.05,4.0,2.0,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,ChatGPT4o,ReactSignUp,high,low,1,1418,0,1237,10.94,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,ChatGPT4o,ToDoApp_ReactJS,high,avg,1,3441,0,1638,14.54,4.0,3.61,4.0,4.0,4.0,3.22
code_documentation,solution_documentation,BusinessFunctionality,React,ChatGPT4o,ReactSignUp,high,low,1,1395,0,1524,22.55,3.82,3.5,3.92,4.0,3.73,3.01
code_documentation,solution_documentation,BusinessFunctionality,React,ChatGPT4o,ToDoApp_ReactJS,high,avg,1,3402,0,1459,14.93,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,Angular,ChatGPT4o,AngularCosmoPage,avg,high,1,5579,0,1583,16.06,3.49,2.72,3.06,2.44,3.92,3.0
