Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,Claude_Opus_4_Thinking,ToDoApp_ReactJS,high,avg,1,4381,0,6450,61.13,3.06,4.0,3.0,4.0,3.12,4.0
code_translation,solution_migration,jQueryToReact,jQuery,Claude_Opus_4_Thinking,ToDoApp_jQuery,high,low,1,3187,0,4766,48.24,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,AngularToReact,Angular,Claude_Opus_4_Thinking,AngularCosmoPage,avg,high,1,7201,0,9261,95.25,4.0,3.5,4.0,3.0,4.0,4.0
code_translation,solution_migration,UpdateReact,React,Claude_Opus_4_Thinking,ToDoApp_ReactJS,high,avg,1,4353,0,5336,53.66,3.67,4.0,3.56,4.0,3.78,4.0
code_translation,solution_migration,UpdateAngular,Angular,Claude_Opus_4_Thinking,ToDoApp_AngularJS,avg,avg_2,1,3088,0,8297,76.78,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,ReactToAngular,React,Claude_Opus_4_Thinking,ReactSignUp,high,low,1,1848,0,2866,30.51,3.5,4.0,3.0,4.0,4.0,4.0
code_translation,solution_migration,VanillaToReact,NativeJS,Claude_Opus_4_Thinking,Piano_NativeJS,high,low,1,1998,0,6663,70.24,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,ModifyReactApp,React,Claude_Opus_4_Thinking,ReactFetchAPI,avg,low,1,687,0,3006,36.04,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateBaseComponent,none,Claude_Opus_4_Thinking,none,none,none,1,342,0,4656,47.86,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateReactApp,none,Claude_Opus_4_Thinking,none,none,none,1,351,0,3863,39.89,4.0,3.98,4.0,4.0,4.0,3.95
code_generation,test_generation,WriteTestsForLegacyCode,React,Claude_Opus_4_Thinking,ReactSignUp,high,low,1,1821,0,5227,57.74,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,React,Claude_Opus_4_Thinking,ToDoApp_ReactJS,high,avg,1,4364,0,9559,95.28,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,Angular,Claude_Opus_4_Thinking,AngularCosmoPage,avg,high,1,7069,0,8242,91.87,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForActualCode,React,Claude_Opus_4_Thinking,ReactSelect,extra_high,high,1,20593,0,26214,255.3,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,solution_template_generation,GenerateProjectConfiguration,none,Claude_Opus_4_Thinking,none,none,none,1,321,0,4405,44.35,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Claude_Opus_4_Thinking,ReactSignUp,high,low,1,1792,0,4810,57.03,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Claude_Opus_4_Thinking,ToDoApp_ReactJS,high,avg,1,4331,0,4337,53.45,3.66,3.5,4.0,3.0,3.32,4.0
code_documentation,code_analysis,EvaluateCodeQuality,Angular,Claude_Opus_4_Thinking,AngularCosmoPage,avg,high,1,7061,0,4054,53.96,4.0,3.0,4.0,3.0,4.0,2.99
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,Claude_Opus_4_Thinking,AngularCosmoPage,avg,high,1,6969,0,2043,41.66,2.5,3.31,2.0,2.68,3.0,3.94
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Claude_Opus_4_Thinking,ReactSignUp,high,low,1,1757,0,1839,31.19,3.0,4.0,3.0,4.0,3.0,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Claude_Opus_4_Thinking,ToDoApp_ReactJS,high,avg,1,4265,0,2661,41.93,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,React,Claude_Opus_4_Thinking,ReactSignUp,high,low,1,1729,0,1883,37.07,3.0,3.0,3.0,3.0,3.0,3.01
code_documentation,solution_documentation,BusinessFunctionality,React,Claude_Opus_4_Thinking,ToDoApp_ReactJS,high,avg,1,4226,0,1874,38.7,3.99,3.95,4.0,3.95,3.98,3.95
code_documentation,solution_documentation,BusinessFunctionality,Angular,Claude_Opus_4_Thinking,AngularCosmoPage,avg,high,1,6977,0,1989,42.39,4.0,2.36,4.0,2.73,4.0,1.99
