metric,score,weighted_score,is_confident,score_4,score_5,category,experiment,repository,scenario_id,score_3,score_2
accuracy,4,4.18,False,0.82,0.18,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,,
completeness,4,4.27,False,0.73,0.27,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,,
accuracy,5,5.0,True,,1.0,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,,
completeness,4,4.32,False,0.68,0.32,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,,
accuracy,5,5.0,True,,1.0,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,,
completeness,5,5.0,True,,1.0,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,,
accuracy,5,5.0,True,,1.0,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,,
completeness,3,3.41,False,0.41,,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,0.59,
accuracy,5,5.0,True,,1.0,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,,
completeness,3,3.44,False,0.44,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,0.56,
accuracy,5,5.0,True,,1.0,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,,
completeness,5,5.0,True,,1.0,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,,
accuracy,5,5.0,True,,1.0,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,,
completeness,5,5.0,True,,1.0,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,,
accuracy,5,5.0,True,,1.0,GenerateBaseComponent,component_generation,,1,,
completeness,5,5.0,True,,1.0,GenerateBaseComponent,component_generation,,1,,
accuracy,5,5.0,True,,1.0,GenerateReactApp,component_generation,,2,,
completeness,3,3.02,True,0.02,,GenerateReactApp,component_generation,,2,0.98,
accuracy,5,5.0,True,,1.0,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,,
completeness,5,5.0,True,,1.0,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,,
accuracy,4,4.01,True,0.99,0.01,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,,
completeness,5,5.0,True,,1.0,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,,
accuracy,5,5.0,True,,1.0,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,,
completeness,5,5.0,True,,1.0,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,,
accuracy,5,5.0,True,,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,,
completeness,5,5.0,True,,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,,
accuracy,5,5.0,True,,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,,
completeness,5,5.0,True,,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,,
accuracy,5,5.0,True,,1.0,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,,
completeness,5,5.0,True,,1.0,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,,
accuracy,5,5.0,True,,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,,
completeness,5,5.0,True,,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,,
accuracy,5,5.0,True,,1.0,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,,
completeness,5,5.0,True,,1.0,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,,
accuracy,5,5.0,True,,1.0,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,,
completeness,4,4.05,True,0.95,0.05,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,,
accuracy,5,5.0,True,,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,,
completeness,5,5.0,True,,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,,
accuracy,5,5.0,True,,1.0,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,,
completeness,5,4.78,False,0.22,0.78,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,,
accuracy,5,5.0,True,,1.0,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,,
completeness,5,5.0,True,,1.0,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,,
accuracy,3,2.98,True,,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,0.98,0.02
completeness,5,5.0,True,,1.0,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,,
accuracy,5,5.0,True,,1.0,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,,
completeness,5,5.0,True,,1.0,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,,
