Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,Claude_Sonnet_37,ToDoApp_ReactJS,high,avg,1,4352,0,6309,75.62,3.19,4.0,3.38,4.0,3.0,4.0
code_translation,solution_migration,jQueryToReact,jQuery,Claude_Sonnet_37,ToDoApp_jQuery,high,low,1,3158,0,5081,59.77,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,AngularToReact,Angular,Claude_Sonnet_37,AngularCosmoPage,avg,high,1,7172,0,8192,94.97,3.46,2.5,3.92,2.0,3.0,3.0
code_translation,solution_migration,UpdateReact,React,Claude_Sonnet_37,ToDoApp_ReactJS,high,avg,1,4324,0,5317,67.64,3.88,4.0,3.99,4.0,3.78,4.0
code_translation,solution_migration,UpdateAngular,Angular,Claude_Sonnet_37,ToDoApp_AngularJS,avg,avg_2,1,3059,0,8056,89.31,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,ReactToAngular,React,Claude_Sonnet_37,ReactSignUp,high,low,1,1819,0,2534,29.85,3.94,4.0,3.88,4.0,4.0,4.0
code_translation,solution_migration,VanillaToReact,NativeJS,Claude_Sonnet_37,Piano_NativeJS,high,low,1,1969,0,8192,96.46,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,ModifyReactApp,React,Claude_Sonnet_37,ReactFetchAPI,avg,low,1,658,0,1866,25.33,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateBaseComponent,none,Claude_Sonnet_37,none,none,none,1,313,0,3762,46.52,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateReactApp,none,Claude_Sonnet_37,none,none,none,1,309,0,1955,25.17,4.0,3.5,4.0,4.0,4.0,3.0
code_generation,test_generation,WriteTestsForLegacyCode,React,Claude_Sonnet_37,ReactSignUp,high,low,1,1792,0,6632,108.17,4.0,3.98,4.0,4.0,4.0,3.96
code_generation,test_generation,WriteTestsForLegacyCode,React,Claude_Sonnet_37,ToDoApp_ReactJS,high,avg,1,4335,0,8192,94.54,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,Angular,Claude_Sonnet_37,AngularCosmoPage,avg,high,1,7040,0,8192,98.4,3.61,4.0,4.0,4.0,3.22,4.0
code_generation,test_generation,WriteTestsForActualCode,React,Claude_Sonnet_37,ReactSelect,extra_high,high,1,20564,0,8192,95.56,3.48,3.5,3.94,4.0,3.02,3.0
code_generation,solution_template_generation,GenerateProjectConfiguration,none,Claude_Sonnet_37,none,none,none,1,292,0,2567,37.84,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Claude_Sonnet_37,ReactSignUp,high,low,1,1763,0,5081,66.69,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Claude_Sonnet_37,ToDoApp_ReactJS,high,avg,1,4302,0,5521,73.79,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,Angular,Claude_Sonnet_37,AngularCosmoPage,avg,high,1,7032,0,4693,68.41,4.0,1.99,4.0,1.0,4.0,2.98
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,Claude_Sonnet_37,AngularCosmoPage,avg,high,1,6940,0,3769,58.84,3.5,3.49,3.99,3.98,3.01,3.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Claude_Sonnet_37,ReactSignUp,high,low,1,1728,0,1433,30.63,3.59,4.0,3.18,4.0,4.0,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Claude_Sonnet_37,ToDoApp_ReactJS,high,avg,1,4236,0,2252,37.52,3.0,4.0,3.0,4.0,3.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,React,Claude_Sonnet_37,ReactSignUp,high,low,1,1700,0,1449,29.74,4.0,3.96,4.0,3.95,4.0,3.98
code_documentation,solution_documentation,BusinessFunctionality,React,Claude_Sonnet_37,ToDoApp_ReactJS,high,avg,1,4197,0,1849,34.1,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,Angular,Claude_Sonnet_37,AngularCosmoPage,avg,high,1,6948,0,1519,30.83,4.0,3.22,4.0,3.44,4.0,2.99
