Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,Claude_Sonnet_37_Thinking,ToDoApp_ReactJS,high,avg,1,4381,0,15210,171.89,3.8,4.0,3.82,4.0,3.78,4.0
code_translation,solution_migration,jQueryToReact,jQuery,Claude_Sonnet_37_Thinking,ToDoApp_jQuery,high,low,1,3187,0,9066,114.28,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,AngularToReact,Angular,Claude_Sonnet_37_Thinking,AngularCosmoPage,avg,high,1,7201,0,20000,241.32,2.8,3.0,2.99,2.0,2.62,4.0
code_translation,solution_migration,UpdateReact,React,Claude_Sonnet_37_Thinking,ToDoApp_ReactJS,high,avg,1,4353,0,9976,116.64,3.0,4.0,3.0,4.0,3.0,4.0
code_translation,solution_migration,UpdateAngular,Angular,Claude_Sonnet_37_Thinking,ToDoApp_AngularJS,avg,avg_2,1,3088,0,13507,151.73,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,ReactToAngular,React,Claude_Sonnet_37_Thinking,ReactSignUp,high,low,1,1848,0,8558,98.76,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,VanillaToReact,NativeJS,Claude_Sonnet_37_Thinking,Piano_NativeJS,high,low,1,1998,0,10856,122.72,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,ModifyReactApp,React,Claude_Sonnet_37_Thinking,ReactFetchAPI,avg,low,1,687,0,5987,75.88,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateBaseComponent,none,Claude_Sonnet_37_Thinking,none,none,none,1,342,0,6336,74.32,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateReactApp,none,Claude_Sonnet_37_Thinking,none,none,none,1,351,0,4791,62.25,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,React,Claude_Sonnet_37_Thinking,ReactSignUp,high,low,1,1821,0,13418,157.97,4.0,3.61,4.0,4.0,4.0,3.22
code_generation,test_generation,WriteTestsForLegacyCode,React,Claude_Sonnet_37_Thinking,ToDoApp_ReactJS,high,avg,1,4364,0,17085,203.97,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,Angular,Claude_Sonnet_37_Thinking,AngularCosmoPage,avg,high,1,7069,0,14779,185.44,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForActualCode,React,Claude_Sonnet_37_Thinking,ReactSelect,extra_high,high,1,20593,0,14574,180.44,3.55,3.9,4.0,3.99,3.1,3.82
code_generation,solution_template_generation,GenerateProjectConfiguration,none,Claude_Sonnet_37_Thinking,none,none,none,1,321,0,5464,64.85,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Claude_Sonnet_37_Thinking,ReactSignUp,high,low,1,1792,0,3488,56.63,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Claude_Sonnet_37_Thinking,ToDoApp_ReactJS,high,avg,1,4331,0,5431,79.16,4.0,3.44,4.0,3.0,3.99,3.88
code_documentation,code_analysis,EvaluateCodeQuality,Angular,Claude_Sonnet_37_Thinking,AngularCosmoPage,avg,high,1,7061,0,5776,88.26,4.0,2.47,4.0,2.01,4.0,2.94
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,Claude_Sonnet_37_Thinking,AngularCosmoPage,avg,high,1,6969,0,3650,61.31,3.02,3.04,3.05,3.08,3.0,3.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Claude_Sonnet_37_Thinking,ReactSignUp,high,low,1,1757,0,1665,30.18,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Claude_Sonnet_37_Thinking,ToDoApp_ReactJS,high,avg,1,4265,0,2160,34.14,3.55,4.0,3.1,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,React,Claude_Sonnet_37_Thinking,ReactSignUp,high,low,1,1729,0,2619,47.9,2.99,3.0,2.98,2.99,3.0,3.0
code_documentation,solution_documentation,BusinessFunctionality,React,Claude_Sonnet_37_Thinking,ToDoApp_ReactJS,high,avg,1,4226,0,2924,53.11,3.96,3.92,3.92,3.88,3.99,3.95
code_documentation,solution_documentation,BusinessFunctionality,Angular,Claude_Sonnet_37_Thinking,AngularCosmoPage,avg,high,1,6977,0,3182,56.25,4.0,2.01,4.0,1.98,4.0,2.05
