Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,Codex_Mini_Latest,ToDoApp_ReactJS,high,avg,1,3533,9600,16121,118.96,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,jQueryToReact,jQuery,Codex_Mini_Latest,ToDoApp_jQuery,high,low,1,2554,2880,7190,52.73,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,AngularToReact,Angular,Codex_Mini_Latest,AngularCosmoPage,avg,high,1,5784,19840,30887,227.05,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,UpdateReact,React,Codex_Mini_Latest,ToDoApp_ReactJS,high,avg,1,3512,4480,8806,58.8,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,UpdateAngular,Angular,Codex_Mini_Latest,ToDoApp_AngularJS,avg,avg_2,1,2504,10368,16006,111.82,4.0,3.86,4.0,3.99,4.0,3.73
code_translation,solution_migration,ReactToAngular,React,Codex_Mini_Latest,ReactSignUp,high,low,1,1485,3200,5646,36.8,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,VanillaToReact,NativeJS,Codex_Mini_Latest,Piano_NativeJS,high,low,1,1669,1344,5352,71.63,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,ModifyReactApp,React,Codex_Mini_Latest,ReactFetchAPI,avg,low,1,570,2496,4386,27.26,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateBaseComponent,none,Codex_Mini_Latest,none,none,none,1,289,4544,7116,43.06,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateReactApp,none,Codex_Mini_Latest,none,none,none,1,299,3520,4838,28.87,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,React,Codex_Mini_Latest,ReactSignUp,high,low,1,1472,832,4034,28.72,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,React,Codex_Mini_Latest,ToDoApp_ReactJS,high,avg,1,3525,1472,6323,49.42,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,Angular,Codex_Mini_Latest,AngularCosmoPage,avg,high,1,5662,768,4852,33.97,4.0,2.0,4.0,0.0,4.0,4.0
code_generation,test_generation,WriteTestsForActualCode,React,Codex_Mini_Latest,ReactSelect,extra_high,high,1,16066,576,3517,27.92,4.0,2.51,4.0,3.0,4.0,2.02
code_generation,solution_template_generation,GenerateProjectConfiguration,none,Codex_Mini_Latest,none,none,none,1,275,5824,7701,48.25,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Codex_Mini_Latest,ReactSignUp,high,low,1,1436,320,3735,24.04,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Codex_Mini_Latest,ToDoApp_ReactJS,high,avg,1,3478,704,4191,28.1,4.0,3.78,4.0,4.0,4.0,3.56
code_documentation,code_analysis,EvaluateCodeQuality,Angular,Codex_Mini_Latest,AngularCosmoPage,avg,high,1,5628,192,3415,24.81,4.0,1.0,4.0,1.0,4.0,1.0
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,Codex_Mini_Latest,AngularCosmoPage,avg,high,1,5580,320,5058,33.41,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Codex_Mini_Latest,ReactSignUp,high,low,1,1417,320,3506,28.67,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Codex_Mini_Latest,ToDoApp_ReactJS,high,avg,1,3440,448,3950,25.59,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,React,Codex_Mini_Latest,ReactSignUp,high,low,1,1394,448,4386,27.69,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,React,Codex_Mini_Latest,ToDoApp_ReactJS,high,avg,1,3401,512,4711,34.31,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,Angular,Codex_Mini_Latest,AngularCosmoPage,avg,high,1,5578,128,3382,24.89,4.0,4.0,4.0,4.0,4.0,4.0
