Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,DeepSeekR1,ToDoApp_ReactJS,high,avg,1,3628,0,2900,38.91,2.0,1.52,2.0,2.01,2.0,1.02
code_translation,solution_migration,jQueryToReact,jQuery,DeepSeekR1,ToDoApp_jQuery,high,low,1,2639,0,3386,47.94,3.91,4.0,4.0,4.0,3.82,4.0
code_translation,solution_migration,AngularToReact,Angular,DeepSeekR1,AngularCosmoPage,avg,high,1,6003,0,2693,37.11,3.0,1.01,3.0,2.01,3.0,0.02
code_translation,solution_migration,UpdateReact,React,DeepSeekR1,ToDoApp_ReactJS,high,avg,1,3604,0,2709,32.15,3.58,3.92,3.32,4.0,3.85,3.85
code_translation,solution_migration,UpdateAngular,Angular,DeepSeekR1,ToDoApp_AngularJS,avg,avg_2,1,2649,0,2817,36.03,3.5,2.97,3.0,4.0,4.0,1.94
code_translation,solution_migration,ReactToAngular,React,DeepSeekR1,ReactSignUp,high,low,1,1501,0,2794,42.64,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,VanillaToReact,NativeJS,DeepSeekR1,Piano_NativeJS,high,low,1,1696,0,16000,222.5,3.5,3.5,4.0,4.0,3.01,3.0
code_generation,component_generation,ModifyReactApp,React,DeepSeekR1,ReactFetchAPI,avg,low,1,568,0,6185,81.91,3.04,4.0,3.08,4.0,2.99,4.0
code_generation,component_generation,GenerateBaseComponent,none,DeepSeekR1,none,none,none,1,286,0,2344,31.6,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateReactApp,none,DeepSeekR1,none,none,none,1,297,0,1718,20.45,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,React,DeepSeekR1,ReactSignUp,high,low,1,1488,0,9133,151.1,3.5,2.0,4.0,2.0,3.01,2.0
code_generation,test_generation,WriteTestsForLegacyCode,React,DeepSeekR1,ToDoApp_ReactJS,high,avg,1,3616,0,7699,114.58,3.0,1.01,3.0,1.0,3.0,1.02
code_generation,test_generation,WriteTestsForLegacyCode,Angular,DeepSeekR1,AngularCosmoPage,avg,high,1,5877,0,5674,114.99,4.0,3.56,4.0,3.94,4.0,3.18
code_generation,test_generation,WriteTestsForActualCode,React,DeepSeekR1,ReactSelect,extra_high,high,1,16580,0,3250,46.55,3.75,2.18,4.0,2.68,3.5,1.68
code_generation,solution_template_generation,GenerateProjectConfiguration,none,DeepSeekR1,none,none,none,1,269,0,2129,30.56,3.78,4.0,4.0,4.0,3.56,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,DeepSeekR1,ReactSignUp,high,low,1,1448,0,2299,27.78,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,DeepSeekR1,ToDoApp_ReactJS,high,avg,1,3563,0,1512,19.61,2.41,2.86,2.08,3.0,2.73,2.73
code_documentation,code_analysis,EvaluateCodeQuality,Angular,DeepSeekR1,AngularCosmoPage,avg,high,1,5843,0,2569,32.41,4.0,2.06,4.0,2.01,4.0,2.12
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,DeepSeekR1,AngularCosmoPage,avg,high,1,5792,0,1887,31.72,2.88,3.5,3.73,4.0,2.03,3.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,DeepSeekR1,ReactSignUp,high,low,1,1426,0,1335,19.16,4.0,3.04,4.0,3.02,4.0,3.06
code_documentation,code_explanation,DescribeTechnicalImplementation,React,DeepSeekR1,ToDoApp_ReactJS,high,avg,1,3522,0,1860,32.52,4.0,3.86,4.0,4.0,4.0,3.73
code_documentation,solution_documentation,BusinessFunctionality,React,DeepSeekR1,ReactSignUp,high,low,1,1405,0,1494,21.03,2.0,2.48,2.0,1.96,2.0,2.99
code_documentation,solution_documentation,BusinessFunctionality,React,DeepSeekR1,ToDoApp_ReactJS,high,avg,1,3487,0,1743,23.5,3.99,4.0,4.0,4.0,3.98,4.0
code_documentation,solution_documentation,BusinessFunctionality,Angular,DeepSeekR1,AngularCosmoPage,avg,high,1,5790,0,1655,22.31,3.5,1.52,4.0,1.03,3.0,2.0
