Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,DeepSeekR1_0528,ToDoApp_ReactJS,high,avg,1,3628,0,8192,40.88,2.37,2.51,2.01,2.01,2.73,3.02
code_translation,solution_migration,jQueryToReact,jQuery,DeepSeekR1_0528,ToDoApp_jQuery,high,low,1,2639,0,11386,91.87,3.39,4.0,2.78,4.0,4.0,4.0
code_translation,solution_migration,AngularToReact,Angular,DeepSeekR1_0528,AngularCosmoPage,avg,high,1,6003,0,4613,34.92,2.99,1.48,2.97,1.94,3.0,1.01
code_translation,solution_migration,UpdateReact,React,DeepSeekR1_0528,ToDoApp_ReactJS,high,avg,1,3604,0,7236,58.99,2.2,4.0,2.03,4.0,2.38,4.0
code_translation,solution_migration,UpdateAngular,Angular,DeepSeekR1_0528,ToDoApp_AngularJS,avg,avg_2,1,2649,0,14169,112.24,3.5,3.41,3.5,2.82,3.5,4.0
code_translation,solution_migration,ReactToAngular,React,DeepSeekR1_0528,ReactSignUp,high,low,1,1501,0,9749,88.65,3.51,4.0,4.0,4.0,3.03,4.0
code_translation,solution_migration,VanillaToReact,NativeJS,DeepSeekR1_0528,Piano_NativeJS,high,low,1,1696,0,12041,95.08,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,ModifyReactApp,React,DeepSeekR1_0528,ReactFetchAPI,avg,low,1,568,0,3049,25.81,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateBaseComponent,none,DeepSeekR1_0528,none,none,none,1,286,0,2515,23.73,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateReactApp,none,DeepSeekR1_0528,none,none,none,1,297,0,1944,14.9,4.0,3.59,4.0,4.0,4.0,3.18
code_generation,test_generation,WriteTestsForLegacyCode,React,DeepSeekR1_0528,ReactSignUp,high,low,1,1488,0,2488,20.59,4.0,3.5,4.0,4.0,4.0,3.0
code_generation,test_generation,WriteTestsForLegacyCode,React,DeepSeekR1_0528,ToDoApp_ReactJS,high,avg,1,3616,0,3798,29.73,4.0,2.41,4.0,2.0,4.0,2.82
code_generation,test_generation,WriteTestsForLegacyCode,Angular,DeepSeekR1_0528,AngularCosmoPage,avg,high,1,5877,0,5672,48.78,4.0,2.96,4.0,3.0,4.0,2.92
code_generation,test_generation,WriteTestsForActualCode,React,DeepSeekR1_0528,ReactSelect,extra_high,high,1,16580,0,2936,26.52,4.0,3.0,4.0,4.0,4.0,1.99
code_generation,solution_template_generation,GenerateProjectConfiguration,none,DeepSeekR1_0528,none,none,none,1,269,0,2514,20.25,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,DeepSeekR1_0528,ReactSignUp,high,low,1,1448,0,6888,229.27,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,DeepSeekR1_0528,ToDoApp_ReactJS,high,avg,1,3563,0,8192,42.16,2.54,2.51,3.02,3.02,2.05,2.0
code_documentation,code_analysis,EvaluateCodeQuality,Angular,DeepSeekR1_0528,AngularCosmoPage,avg,high,1,5843,0,4071,32.21,4.0,2.0,4.0,2.0,4.0,2.0
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,DeepSeekR1_0528,AngularCosmoPage,avg,high,1,5792,0,3750,34.44,3.7,3.5,3.56,3.0,3.85,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,DeepSeekR1_0528,ReactSignUp,high,low,1,1426,0,3164,25.53,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,DeepSeekR1_0528,ToDoApp_ReactJS,high,avg,1,3522,0,3428,30.7,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,React,DeepSeekR1_0528,ReactSignUp,high,low,1,1405,0,3251,16.9,3.0,3.06,3.0,3.12,3.0,3.0
code_documentation,solution_documentation,BusinessFunctionality,React,DeepSeekR1_0528,ToDoApp_ReactJS,high,avg,1,3487,0,3066,16.84,4.0,3.91,4.0,3.94,4.0,3.88
code_documentation,solution_documentation,BusinessFunctionality,Angular,DeepSeekR1_0528,AngularCosmoPage,avg,high,1,5790,0,3728,33.34,4.0,2.53,4.0,3.0,4.0,2.06
