Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,DeepSeekV3_0324,ToDoApp_ReactJS,high,avg,1,3628,0,7729,220.14,3.0,4.0,3.0,4.0,3.0,4.0
code_translation,solution_migration,jQueryToReact,jQuery,DeepSeekV3_0324,ToDoApp_jQuery,high,low,1,2639,0,3994,87.89,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,AngularToReact,Angular,DeepSeekV3_0324,AngularCosmoPage,avg,high,1,6003,0,6283,204.06,3.5,3.34,4.0,4.0,3.0,2.68
code_translation,solution_migration,UpdateReact,React,DeepSeekV3_0324,ToDoApp_ReactJS,high,avg,1,3604,0,2727,74.71,2.46,4.0,2.0,4.0,2.92,4.0
code_translation,solution_migration,UpdateAngular,Angular,DeepSeekV3_0324,ToDoApp_AngularJS,avg,avg_2,1,2649,0,5472,167.86,4.0,3.61,4.0,4.0,4.0,3.22
code_translation,solution_migration,ReactToAngular,React,DeepSeekV3_0324,ReactSignUp,high,low,1,1501,0,1867,35.45,3.48,3.22,3.0,3.44,3.96,3.0
code_translation,solution_migration,VanillaToReact,NativeJS,DeepSeekV3_0324,Piano_NativeJS,high,low,1,1696,0,2551,72.97,4.0,3.59,4.0,3.18,4.0,4.0
code_generation,component_generation,ModifyReactApp,React,DeepSeekV3_0324,ReactFetchAPI,avg,low,1,568,0,1357,26.28,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateBaseComponent,none,DeepSeekV3_0324,none,none,none,1,286,0,2229,62.26,4.0,3.52,4.0,4.0,4.0,3.04
code_generation,component_generation,GenerateReactApp,none,DeepSeekV3_0324,none,none,none,1,297,0,1794,43.79,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,React,DeepSeekV3_0324,ReactSignUp,high,low,1,1488,0,2162,67.44,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,React,DeepSeekV3_0324,ToDoApp_ReactJS,high,avg,1,3616,0,3065,89.2,3.56,1.99,4.0,1.98,3.12,2.0
code_generation,test_generation,WriteTestsForLegacyCode,Angular,DeepSeekV3_0324,AngularCosmoPage,avg,high,1,5877,0,3407,68.43,4.0,1.98,4.0,2.82,4.0,1.15
code_generation,test_generation,WriteTestsForActualCode,React,DeepSeekV3_0324,ReactSelect,extra_high,high,1,16580,0,2604,92.66,3.5,2.5,3.01,3.0,3.98,1.99
code_generation,solution_template_generation,GenerateProjectConfiguration,none,DeepSeekV3_0324,none,none,none,1,269,0,1915,57.0,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,DeepSeekV3_0324,ReactSignUp,high,low,1,1448,0,1752,48.41,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,DeepSeekV3_0324,ToDoApp_ReactJS,high,avg,1,3563,0,1174,22.98,3.1,3.19,3.15,3.38,3.04,3.0
code_documentation,code_analysis,EvaluateCodeQuality,Angular,DeepSeekV3_0324,AngularCosmoPage,avg,high,1,5843,0,1292,42.7,4.0,2.15,4.0,2.32,4.0,1.99
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,DeepSeekV3_0324,AngularCosmoPage,avg,high,1,5792,0,1608,53.16,2.69,3.46,3.0,4.0,2.38,2.92
code_documentation,code_explanation,DescribeTechnicalImplementation,React,DeepSeekV3_0324,ReactSignUp,high,low,1,1426,0,1203,28.33,4.0,3.52,4.0,4.0,4.0,3.05
code_documentation,code_explanation,DescribeTechnicalImplementation,React,DeepSeekV3_0324,ToDoApp_ReactJS,high,avg,1,3522,0,1335,51.65,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,React,DeepSeekV3_0324,ReactSignUp,high,low,1,1405,0,1200,35.97,3.56,4.0,4.0,4.0,3.12,3.99
code_documentation,solution_documentation,BusinessFunctionality,React,DeepSeekV3_0324,ToDoApp_ReactJS,high,avg,1,3487,0,1031,33.05,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,Angular,DeepSeekV3_0324,AngularCosmoPage,avg,high,1,5790,0,1060,32.63,2.0,2.5,0.0,3.01,4.0,2.0
