Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,GPT41mini_0414,ToDoApp_ReactJS,high,avg,1,3534,0,5602,71.1,4.0,3.39,4.0,4.0,4.0,2.78
code_translation,solution_migration,jQueryToReact,jQuery,GPT41mini_0414,ToDoApp_jQuery,high,low,1,2555,0,3556,52.5,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,AngularToReact,Angular,GPT41mini_0414,AngularCosmoPage,avg,high,1,5785,0,6335,196.66,4.0,3.51,4.0,4.0,4.0,3.03
code_translation,solution_migration,UpdateReact,React,GPT41mini_0414,ToDoApp_ReactJS,high,avg,1,3513,0,3997,71.3,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,UpdateAngular,Angular,GPT41mini_0414,ToDoApp_AngularJS,avg,avg_2,1,2505,0,4794,71.77,4.0,3.56,4.0,4.0,4.0,3.12
code_translation,solution_migration,ReactToAngular,React,GPT41mini_0414,ReactSignUp,high,low,1,1486,0,2435,38.68,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,VanillaToReact,NativeJS,GPT41mini_0414,Piano_NativeJS,high,low,1,1670,0,3305,51.25,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,ModifyReactApp,React,GPT41mini_0414,ReactFetchAPI,avg,low,1,571,0,1557,13.92,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateBaseComponent,none,GPT41mini_0414,none,none,none,1,290,0,2297,76.65,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateReactApp,none,GPT41mini_0414,none,none,none,1,300,0,775,9.9,4.0,4.0,4.0,4.0,4.0,3.03->4.0
code_generation,test_generation,WriteTestsForLegacyCode,React,GPT41mini_0414,ReactSignUp,high,low,1,1473,0,3301,38.09,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,React,GPT41mini_0414,ToDoApp_ReactJS,high,avg,1,3526,0,5374,55.14,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,Angular,GPT41mini_0414,AngularCosmoPage,avg,high,1,5663,0,5582,45.65,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForActualCode,React,GPT41mini_0414,ReactSelect,extra_high,high,1,16067,0,4232,61.14,4.0,2.98,4.0,3.04,4.0,2.92
code_generation,solution_template_generation,GenerateProjectConfiguration,none,GPT41mini_0414,none,none,none,1,276,0,1968,29.65,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,GPT41mini_0414,ReactSignUp,high,low,1,1437,0,3478,53.27,4.0,3.91,4.0,4.0,4.0,3.82
code_documentation,code_analysis,EvaluateCodeQuality,React,GPT41mini_0414,ToDoApp_ReactJS,high,avg,1,3479,0,2894,51.21,3.99,3.0,4.0,3.0,3.98,3.01
code_documentation,code_analysis,EvaluateCodeQuality,Angular,GPT41mini_0414,AngularCosmoPage,avg,high,1,5629,0,3337,49.57,4.0,1.5,4.0,1.0,4.0,2.0
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,GPT41mini_0414,AngularCosmoPage,avg,high,1,5581,0,2306,52.12,3.3,4.0,3.03,4.0,3.56,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,GPT41mini_0414,ReactSignUp,high,low,1,1418,0,1540,41.56,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,GPT41mini_0414,ToDoApp_ReactJS,high,avg,1,3441,0,1474,33.73,4.0,1.0,4.0,1.0,4.0,1.0
code_documentation,solution_documentation,BusinessFunctionality,React,GPT41mini_0414,ReactSignUp,high,low,1,1395,0,1841,22.4,3.0,3.12,3.01,3.02,3.0,3.22
code_documentation,solution_documentation,BusinessFunctionality,React,GPT41mini_0414,ToDoApp_ReactJS,high,avg,1,3402,0,2169,29.63,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,Angular,GPT41mini_0414,AngularCosmoPage,avg,high,1,5579,0,2303,34.86,4.0,3.76,4.0,3.62,4.0,3.9
