Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,GPT41nano_0414,ToDoApp_ReactJS,high,avg,1,3534,0,3569,11.48,3.01,3.5,4.0,4.0,2.02,3.0
code_translation,solution_migration,jQueryToReact,jQuery,GPT41nano_0414,ToDoApp_jQuery,high,low,1,2555,0,2883,12.4,3.5,4.0,3.0,4.0,4.0,4.0
code_translation,solution_migration,AngularToReact,Angular,GPT41nano_0414,AngularCosmoPage,avg,high,1,5785,0,2115,9.61,3.59,1.0,4.0,2.0,3.18,0.01
code_translation,solution_migration,UpdateReact,React,GPT41nano_0414,ToDoApp_ReactJS,high,avg,1,3513,0,2981,16.44,3.46,4.0,3.01,4.0,3.9,4.0
code_translation,solution_migration,UpdateAngular,Angular,GPT41nano_0414,ToDoApp_AngularJS,avg,avg_2,1,2505,0,2246,10.21,3.45,3.0,3.0,4.0,3.9,2.0
code_translation,solution_migration,ReactToAngular,React,GPT41nano_0414,ReactSignUp,high,low,1,1486,0,1957,6.65,2.92,3.55,2.01,3.88,3.82,3.22
code_translation,solution_migration,VanillaToReact,NativeJS,GPT41nano_0414,Piano_NativeJS,high,low,1,1670,0,2502,17.2,3.5,3.2,4.0,3.02,3.0,3.38
code_generation,component_generation,ModifyReactApp,React,GPT41nano_0414,ReactFetchAPI,avg,low,1,571,0,1259,5.01,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateBaseComponent,none,GPT41nano_0414,none,none,none,1,290,0,2103,8.5,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateReactApp,none,GPT41nano_0414,none,none,none,1,300,0,842,3.68,4.0,3.92,4.0,4.0,4.0,3.85
code_generation,test_generation,WriteTestsForLegacyCode,React,GPT41nano_0414,ReactSignUp,high,low,1,1473,0,1761,6.62,4.0,2.0,4.0,2.0,4.0,2.0
code_generation,test_generation,WriteTestsForLegacyCode,React,GPT41nano_0414,ToDoApp_ReactJS,high,avg,1,3526,0,2324,8.86,3.0,1.49,3.99,1.1,2.0,1.88
code_generation,test_generation,WriteTestsForLegacyCode,Angular,GPT41nano_0414,AngularCosmoPage,avg,high,1,5663,0,1840,7.63,4.0,1.61,4.0,2.22,4.0,1.0
code_generation,test_generation,WriteTestsForActualCode,React,GPT41nano_0414,ReactSelect,extra_high,high,1,16067,0,2081,7.24,3.45,2.04,2.92,3.08,3.98,1.0
code_generation,solution_template_generation,GenerateProjectConfiguration,none,GPT41nano_0414,none,none,none,1,276,0,1807,13.78,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,GPT41nano_0414,ReactSignUp,high,low,1,1437,0,1823,8.29,4.0,3.5,4.0,4.0,4.0,3.0
code_documentation,code_analysis,EvaluateCodeQuality,React,GPT41nano_0414,ToDoApp_ReactJS,high,avg,1,3479,0,2116,14.75,1.98,2.0,1.95,2.01,2.0,2.0
code_documentation,code_analysis,EvaluateCodeQuality,Angular,GPT41nano_0414,AngularCosmoPage,avg,high,1,5629,0,1651,7.92,4.0,1.0,4.0,1.0,4.0,1.0
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,GPT41nano_0414,AngularCosmoPage,avg,high,1,5581,0,1672,7.83,2.05,1.65,2.1,1.32,2.0,1.98
code_documentation,code_explanation,DescribeTechnicalImplementation,React,GPT41nano_0414,ReactSignUp,high,low,1,1418,0,1296,8.27,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,GPT41nano_0414,ToDoApp_ReactJS,high,avg,1,3441,0,1358,6.24,3.68,1.0,3.5,1.0,3.85,1.0
code_documentation,solution_documentation,BusinessFunctionality,React,GPT41nano_0414,ReactSignUp,high,low,1,1395,0,1648,7.59,2.0,3.0,2.03,3.01,1.97,2.98
code_documentation,solution_documentation,BusinessFunctionality,React,GPT41nano_0414,ToDoApp_ReactJS,high,avg,1,3402,0,1564,14.28,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,Angular,GPT41nano_0414,AngularCosmoPage,avg,high,1,5579,0,1645,9.88,4.0,3.0,4.0,3.0,4.0,3.0
