Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,GPT45_0227,ToDoApp_ReactJS,high,avg,1,3534,0,1680,190.94,2.75,3.02,2.5,2.04,3.0,3.99
code_translation,solution_migration,jQueryToReact,jQuery,GPT45_0227,ToDoApp_jQuery,high,low,1,2555,0,1652,180.3,3.5,2.5,4.0,4.0,3.0,1.0
code_translation,solution_migration,AngularToReact,Angular,GPT45_0227,AngularCosmoPage,avg,high,1,5785,0,1795,218.94,3.0,0.0,3.0,0.0,3.01,0.0
code_translation,solution_migration,UpdateReact,React,GPT45_0227,ToDoApp_ReactJS,high,avg,1,3513,0,1699,143.49,3.0,3.0,3.0,4.0,3.0,1.99
code_translation,solution_migration,UpdateAngular,Angular,GPT45_0227,ToDoApp_AngularJS,avg,avg_2,1,2505,0,1790,215.43,3.75,2.01,4.0,2.02,3.5,2.0
code_translation,solution_migration,ReactToAngular,React,GPT45_0227,ReactSignUp,high,low,1,1486,0,1839,152.13,3.55,3.5,3.78,4.0,3.32,2.99
code_translation,solution_migration,VanillaToReact,NativeJS,GPT45_0227,Piano_NativeJS,high,low,1,1670,0,1850,180.95,4.0,3.44,4.0,3.85,4.0,3.02
code_generation,component_generation,ModifyReactApp,React,GPT45_0227,ReactFetchAPI,avg,low,1,571,0,951,147.04,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateBaseComponent,none,GPT45_0227,none,none,none,1,290,0,1654,230.4,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateReactApp,none,GPT45_0227,none,none,none,1,300,0,1039,148.02,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,React,GPT45_0227,ReactSignUp,high,low,1,1473,0,1659,172.63,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,React,GPT45_0227,ToDoApp_ReactJS,high,avg,1,3526,0,1470,161.3,4.0,0.79,4.0,0.73,4.0,0.85
code_generation,test_generation,WriteTestsForLegacyCode,Angular,GPT45_0227,AngularCosmoPage,avg,high,1,5663,0,1691,253.66,4.0,1.0,4.0,1.0,4.0,1.0
code_generation,test_generation,WriteTestsForActualCode,React,GPT45_0227,ReactSelect,extra_high,high,1,16067,0,1565,186.63,4.0,1.43,4.0,1.01,4.0,1.85
code_generation,solution_template_generation,GenerateProjectConfiguration,none,GPT45_0227,none,none,none,1,276,0,1566,178.13,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,GPT45_0227,ReactSignUp,high,low,1,1437,0,1895,234.11,4.0,3.52,4.0,4.0,4.0,3.05
code_documentation,code_analysis,EvaluateCodeQuality,React,GPT45_0227,ToDoApp_ReactJS,high,avg,1,3479,0,1841,212.77,2.25,2.96,2.5,3.0,2.0,2.92
code_documentation,code_analysis,EvaluateCodeQuality,Angular,GPT45_0227,AngularCosmoPage,avg,high,1,5629,0,1651,212.62,4.0,1.0,4.0,1.0,4.0,1.0
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,GPT45_0227,AngularCosmoPage,avg,high,1,5581,0,1423,190.62,2.92,3.31,2.85,2.62,3.0,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,GPT45_0227,ReactSignUp,high,low,1,1418,0,1594,151.07,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,GPT45_0227,ToDoApp_ReactJS,high,avg,1,3441,0,1236,144.97,4.0,3.61,4.0,4.0,4.0,3.22
code_documentation,solution_documentation,BusinessFunctionality,React,GPT45_0227,ReactSignUp,high,low,1,1395,0,1353,153.51,1.98,3.0,2.0,3.01,1.96,3.0
code_documentation,solution_documentation,BusinessFunctionality,React,GPT45_0227,ToDoApp_ReactJS,high,avg,1,3402,0,1554,174.09,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,Angular,GPT45_0227,AngularCosmoPage,avg,high,1,5579,0,1447,175.88,4.0,2.85,4.0,3.02,4.0,2.68
