Experiment,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness
code_analysis,EvaluateCodeQuality,React,GPT4o_1120,ReactSignUp,high,low,1,1347,0,1679,12.511184930801392,4.0,4.0
code_analysis,EvaluateCodeQuality,React,GPT4o_1120,ToDoApp_ReactJS,high,avg,1,3343,0,1956,20.586021900177,4.0,4.0
code_analysis,EvaluateCodeQuality,Angular,GPT4o_1120,AngularCosmoPage,avg,high,1,5506,0,1849,16.083924055099487,4.0,4.0
code_explanation,DescribeTechnicalImplementation,Angular,GPT4o_1120,AngularCosmoPage,avg,high,1,5460,0,1674,12.766021966934204,4.0,4.0
code_explanation,DescribeTechnicalImplementation,React,GPT4o_1120,ReactSignUp,high,low,1,1301,0,1086,7.931869983673096,2.97,3.09
code_explanation,DescribeTechnicalImplementation,React,GPT4o_1120,ToDoApp_ReactJS,high,avg,1,3297,0,1648,12.35205888748169,4.0,4.0
component_generation,ModifyReactApp,React,GPT4o_1120,ReactFetchAPI,avg,low,1,379,0,384,3.194888114929199,4.0,4.0
component_generation,GenerateBaseComponent,none,GPT4o_1120,none,none,none,1,199,0,1191,9.204089164733888,4.0,4.0
component_generation,GenerateReactApp,none,GPT4o_1120,none,none,none,1,188,0,894,6.611536979675293,3.92,3.0
solution_documentation,BusinessFunctionality,React,GPT4o_1120,ReactSignUp,high,low,1,1223,0,1324,9.849803924560549,4.0,3.99
solution_documentation,BusinessFunctionality,React,GPT4o_1120,ToDoApp_ReactJS,high,avg,1,3219,0,1169,8.841968059539795,4.0,4.0
solution_documentation,BusinessFunctionality,Angular,GPT4o_1120,AngularCosmoPage,avg,high,1,5382,0,1436,11.313531875610352,3.0,3.2
solution_migration,ReactToAngular,React,GPT4o_1120,ToDoApp_ReactJS,high,avg,1,3269,0,2585,18.99967622756958,4.0,3.0
solution_migration,jQueryToReact,jQuery,GPT4o_1120,ToDoApp_jQuery,high,low,1,2343,0,2208,16.327364206314087,4.0,4.0
solution_migration,AngularToReact,Angular,GPT4o_1120,AngularCosmoPage,avg,high,1,5413,0,1638,12.587523221969604,4.0,4.0
solution_migration,UpdateReact,React,GPT4o_1120,ToDoApp_ReactJS,high,avg,1,3258,0,2138,18.352000951766968,4.0,4.0
solution_migration,UpdateAngular,Angular,GPT4o_1120,ToDoApp_AngularJS,avg,avg_2,1,2275,0,2017,16.15990924835205,3.27,2.82
solution_migration,ReactToAngular,React,GPT4o_1120,ReactSignUp,high,low,1,1273,0,1574,11.722532749176024,2.08,3.0
solution_migration,VanillaToReact,NativeJS,GPT4o_1120,Piano_NativeJS,high,low,1,1402,0,1724,12.48201298713684,4.0,4.0
solution_template_generation,GenerateProjectConfiguration,none,GPT4o_1120,none,none,none,1,132,0,609,4.842983961105347,,
test_generation,WriteTestsForLegacyCode,React,GPT4o_1120,ReactSignUp,high,low,1,1230,0,942,7.715705871582031,2.98,2.27
test_generation,WriteTestsForLegacyCode,React,GPT4o_1120,ToDoApp_ReactJS,high,avg,1,3226,0,1604,12.355469942092896,4.0,2.0
test_generation,WriteTestsForLegacyCode,Angular,GPT4o_1120,AngularCosmoPage,avg,high,1,5389,0,1409,10.835214138031006,1.92,1.02
test_generation,WriteTestsForActualCode,React,GPT4o_1120,ReactSelect,extra_high,high,1,15764,0,1580,13.244404792785645,3.0,2.03
