Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,Gemini_25_Flash_0520,ToDoApp_ReactJS,high,avg,1,4101,3517,16670,55.11,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,jQueryToReact,jQuery,Gemini_25_Flash_0520,ToDoApp_jQuery,high,low,1,2959,2147,14951,49.87,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,AngularToReact,Angular,Gemini_25_Flash_0520,AngularCosmoPage,avg,high,1,6685,3296,28095,92.34,3.91,4.0,4.0,4.0,3.82,4.0
code_translation,solution_migration,UpdateReact,React,Gemini_25_Flash_0520,ToDoApp_ReactJS,high,avg,1,4085,3153,13244,42.17,3.78,4.0,3.99,4.0,3.56,4.0
code_translation,solution_migration,UpdateAngular,Angular,Gemini_25_Flash_0520,ToDoApp_AngularJS,avg,avg_2,1,2787,9705,20675,78.85,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,ReactToAngular,React,Gemini_25_Flash_0520,ReactSignUp,high,low,1,1687,8092,15857,63.98,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,VanillaToReact,NativeJS,Gemini_25_Flash_0520,Piano_NativeJS,high,low,1,1815,5561,16326,111.3,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,ModifyReactApp,React,Gemini_25_Flash_0520,ReactFetchAPI,avg,low,1,610,1395,3592,15.6,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateBaseComponent,none,Gemini_25_Flash_0520,none,none,none,1,293,6863,13495,58.94,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateReactApp,none,Gemini_25_Flash_0520,none,none,none,1,299,2687,5627,26.49,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,React,Gemini_25_Flash_0520,ReactSignUp,high,low,1,1669,9297,17404,70.39,4.0,3.61,4.0,4.0,4.0,3.22
code_generation,test_generation,WriteTestsForLegacyCode,React,Gemini_25_Flash_0520,ToDoApp_ReactJS,high,avg,1,4096,4754,23339,83.57,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,Angular,Gemini_25_Flash_0520,AngularCosmoPage,avg,high,1,6556,1743,21050,62.93,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForActualCode,React,Gemini_25_Flash_0520,ReactSelect,extra_high,high,1,18518,18087,53053,142.98,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,solution_template_generation,GenerateProjectConfiguration,none,Gemini_25_Flash_0520,none,none,none,1,274,1647,7476,33.86,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Gemini_25_Flash_0520,ReactSignUp,high,low,1,1632,1443,11537,49.48,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Gemini_25_Flash_0520,ToDoApp_ReactJS,high,avg,1,4044,2534,16461,62.72,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,Angular,Gemini_25_Flash_0520,AngularCosmoPage,avg,high,1,6530,3216,20007,68.85,4.0,3.06,4.0,2.96,4.0,3.15
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,Gemini_25_Flash_0520,AngularCosmoPage,avg,high,1,6484,2008,17809,52.73,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Gemini_25_Flash_0520,ReactSignUp,high,low,1,1619,1127,7150,28.92,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Gemini_25_Flash_0520,ToDoApp_ReactJS,high,avg,1,4011,3372,13811,50.25,3.28,4.0,3.56,4.0,3.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,React,Gemini_25_Flash_0520,ReactSignUp,high,low,1,1581,3527,11717,58.87,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,React,Gemini_25_Flash_0520,ToDoApp_ReactJS,high,avg,1,3960,3300,13723,56.57,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,Angular,Gemini_25_Flash_0520,AngularCosmoPage,avg,high,1,6471,4026,16240,55.24,4.0,4.0,4.0,4.0,4.0,4.0
