Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,Gemini_25_Pro_0605,ToDoApp_ReactJS,high,avg,1,4101,3752,10545,99.54,3.2,4.0,3.18,4.0,3.22,4.0
code_translation,solution_migration,jQueryToReact,jQuery,Gemini_25_Pro_0605,ToDoApp_jQuery,high,low,1,2959,3677,8035,79.01,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,AngularToReact,Angular,Gemini_25_Pro_0605,AngularCosmoPage,avg,high,1,6685,3061,8459,83.66,4.0,4.0,4.0,4.0,3.99,4.0
code_translation,solution_migration,UpdateReact,React,Gemini_25_Pro_0605,ToDoApp_ReactJS,high,avg,1,4085,3159,7456,73.62,3.94,4.0,3.99,4.0,3.88,4.0
code_translation,solution_migration,UpdateAngular,Angular,Gemini_25_Pro_0605,ToDoApp_AngularJS,avg,avg_2,1,2787,2656,8393,86.67,4.0,3.13,4.0,3.04,4.0,3.22
code_translation,solution_migration,ReactToAngular,React,Gemini_25_Pro_0605,ReactSignUp,high,low,1,1687,6756,9500,91.76,4.0,3.89,4.0,4.0,4.0,3.78
code_translation,solution_migration,VanillaToReact,NativeJS,Gemini_25_Pro_0605,Piano_NativeJS,high,low,1,1815,8216,13017,123.9,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,ModifyReactApp,React,Gemini_25_Pro_0605,ReactFetchAPI,avg,low,1,610,4045,5708,58.88,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateBaseComponent,none,Gemini_25_Pro_0605,none,none,none,1,293,2850,5226,56.0,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateReactApp,none,Gemini_25_Pro_0605,none,none,none,1,299,1984,3843,40.76,4.0,3.5,4.0,4.0,4.0,3.01
code_generation,test_generation,WriteTestsForLegacyCode,React,Gemini_25_Pro_0605,ReactSignUp,high,low,1,1669,1768,5533,58.29,4.0,3.5,4.0,4.0,4.0,3.0
code_generation,test_generation,WriteTestsForLegacyCode,React,Gemini_25_Pro_0605,ToDoApp_ReactJS,high,avg,1,4096,2415,8185,81.24,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,Angular,Gemini_25_Pro_0605,AngularCosmoPage,avg,high,1,6556,4069,9157,90.19,3.98,3.78,4.0,4.0,3.95,3.56
code_generation,test_generation,WriteTestsForActualCode,React,Gemini_25_Pro_0605,ReactSelect,extra_high,high,1,18518,10485,13766,137.12,3.06,3.0,3.0,3.0,3.12,2.99
code_generation,solution_template_generation,GenerateProjectConfiguration,none,Gemini_25_Pro_0605,none,none,none,1,274,1346,5817,60.82,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Gemini_25_Pro_0605,ReactSignUp,high,low,1,1632,2167,5837,64.1,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Gemini_25_Pro_0605,ToDoApp_ReactJS,high,avg,1,4044,2623,7455,79.54,3.5,3.0,4.0,4.0,3.0,2.01
code_documentation,code_analysis,EvaluateCodeQuality,Angular,Gemini_25_Pro_0605,AngularCosmoPage,avg,high,1,6530,2525,7388,81.85,4.0,1.64,4.0,1.27,4.0,2.0
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,Gemini_25_Pro_0605,AngularCosmoPage,avg,high,1,6477,2063,5680,66.72,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Gemini_25_Pro_0605,ReactSignUp,high,low,1,1612,2374,5204,56.69,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Gemini_25_Pro_0605,ToDoApp_ReactJS,high,avg,1,4004,2660,5734,65.25,3.86,4.0,3.73,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,React,Gemini_25_Pro_0605,ReactSignUp,high,low,1,1581,2434,5588,65.03,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,React,Gemini_25_Pro_0605,ToDoApp_ReactJS,high,avg,1,3960,2550,5172,64.2,4.0,3.72,4.0,3.99,4.0,3.44
code_documentation,solution_documentation,BusinessFunctionality,Angular,Gemini_25_Pro_0605,AngularCosmoPage,avg,high,1,6471,2973,5795,71.88,4.0,3.04,4.0,4.0,4.0,2.08
