Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,Gemma_3_12B,ToDoApp_ReactJS,high,avg,1,4151,0,2244,109.49,2.5,2.52,3.0,2.04,2.0,3.0
code_translation,solution_migration,jQueryToReact,jQuery,Gemma_3_12B,ToDoApp_jQuery,high,low,1,3015,0,2119,97.88,1.99,2.0,2.0,2.0,1.98,1.99
code_translation,solution_migration,AngularToReact,Angular,Gemma_3_12B,AngularCosmoPage,avg,high,1,6721,0,1996,110.13,3.0,0.05,4.0,0.1,2.0,0.0
code_translation,solution_migration,UpdateReact,React,Gemma_3_12B,ToDoApp_ReactJS,high,avg,1,4135,0,3593,177.9,2.5,3.5,3.0,4.0,2.0,3.0
code_translation,solution_migration,UpdateAngular,Angular,Gemma_3_12B,ToDoApp_AngularJS,avg,avg_2,1,2849,0,2157,98.91,3.5,1.54,4.0,2.02,3.01,1.06
code_translation,solution_migration,ReactToAngular,React,Gemma_3_12B,ReactSignUp,high,low,1,1705,0,1831,79.16,1.44,2.58,1.88,2.0,1.0,3.15
code_translation,solution_migration,VanillaToReact,NativeJS,Gemma_3_12B,Piano_NativeJS,high,low,1,1855,0,2103,92.01,2.84,1.82,2.68,2.38,3.0,1.27
code_generation,component_generation,GenerateReactApp,none,Gemma_3_12B,none,none,none,1,308,0,1270,51.04,4.0,3.94,4.0,4.0,4.0,3.88
code_generation,component_generation,ModifyReactApp,React,Gemma_3_12B,ReactFetchAPI,avg,low,1,625,0,1168,47.83,2.19,3.14,2.38,3.27,2.0,3.0
code_generation,component_generation,GenerateBaseComponent,none,Gemma_3_12B,none,none,none,1,302,0,2676,110.59,4.0,2.51,4.0,3.03,4.0,2.0
code_generation,component_generation,GenerateReactApp,none,Gemma_3_12B,none,none,none,1,308,0,1210,48.87,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,React,Gemma_3_12B,ReactSignUp,high,low,1,1687,0,2103,91.4,4.0,3.01,4.0,4.0,4.0,2.02
code_generation,test_generation,WriteTestsForLegacyCode,React,Gemma_3_12B,ToDoApp_ReactJS,high,avg,1,4147,0,2276,111.11,3.0,1.0,3.0,1.0,3.0,0.99
code_generation,test_generation,WriteTestsForLegacyCode,Angular,Gemma_3_12B,AngularCosmoPage,avg,high,1,6593,0,2070,113.7,3.0,1.0,3.01,1.0,3.0,1.0
code_generation,test_generation,WriteTestsForActualCode,React,Gemma_3_12B,ReactSelect,extra_high,high,1,18527,0,1881,167.04,3.14,0.25,3.0,0.5,3.27,0.0
code_generation,solution_template_generation,GenerateProjectConfiguration,none,Gemma_3_12B,none,none,none,1,283,0,2364,96.73,3.5,3.56,3.0,3.12,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Gemma_3_12B,ReactSignUp,high,low,1,1649,0,1906,82.5,2.5,3.52,4.0,4.0,1.0,3.04
code_documentation,code_analysis,EvaluateCodeQuality,React,Gemma_3_12B,ToDoApp_ReactJS,high,avg,1,4095,0,2201,107.1,3.36,2.0,4.0,2.0,2.73,2.01
code_documentation,code_analysis,EvaluateCodeQuality,Angular,Gemma_3_12B,AngularCosmoPage,avg,high,1,6567,0,1803,98.5,4.0,1.61,4.0,1.22,4.0,2.0
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,Gemma_3_12B,AngularCosmoPage,avg,high,1,6514,0,1856,101.42,2.22,3.5,2.44,3.99,2.0,3.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Gemma_3_12B,ReactSignUp,high,low,1,1630,0,2012,87.04,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Gemma_3_12B,ToDoApp_ReactJS,high,avg,1,4054,0,1740,84.11,4.0,3.56,4.0,3.12,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,React,Gemma_3_12B,ReactSignUp,high,low,1,1598,0,1941,83.76,3.5,3.9,4.0,3.99,3.0,3.82
code_documentation,solution_documentation,BusinessFunctionality,React,Gemma_3_12B,ToDoApp_ReactJS,high,avg,1,4010,0,2048,99.06,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,Angular,Gemma_3_12B,AngularCosmoPage,avg,high,1,6507,0,1626,88.98,3.34,1.93,4.0,1.98,2.68,1.88
