metric,score,weighted_score,is_confident,score_2,score_3,category,experiment,repository,scenario_id,model,score_1,score_5,score_4
accuracy,2,2.5,False,0.5,0.5,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,claude-3-7-sonnet@20250219,,,
completeness,1,1.0,True,,,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,claude-3-7-sonnet@20250219,1.0,,
accuracy,3,2.94,True,0.06,0.94,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,o3-mini,,,
completeness,1,1.05,True,0.05,,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,o3-mini,0.95,,
accuracy,3,3.0,True,,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,claude-3-7-sonnet@20250219,,,
completeness,2,2.0,True,1.0,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,claude-3-7-sonnet@20250219,,,
accuracy,3,2.96,True,0.04,0.96,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,o3-mini,,,
completeness,1,1.02,True,0.02,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,o3-mini,0.98,,
accuracy,3,2.94,True,0.06,0.94,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,claude-3-7-sonnet@20250219,,,
completeness,1,1.0,True,,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,claude-3-7-sonnet@20250219,1.0,,
accuracy,3,2.98,True,0.02,0.98,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,o3-mini,,,
completeness,1,1.02,True,0.02,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,o3-mini,0.98,,
accuracy,2,2.0,True,1.0,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,claude-3-7-sonnet@20250219,,,
completeness,2,2.02,True,0.98,0.02,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,claude-3-7-sonnet@20250219,,,
accuracy,2,2.0,True,1.0,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,o3-mini,,,
completeness,5,5.0,True,,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,o3-mini,,1.0,
accuracy,3,3.0,True,,1.0,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,claude-3-7-sonnet@20250219,,,
completeness,2,2.38,False,0.62,0.38,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,claude-3-7-sonnet@20250219,,,
accuracy,2,2.0,True,1.0,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,o3-mini,,,
completeness,2,2.0,True,1.0,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,o3-mini,,,
accuracy,2,1.99,True,0.99,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,claude-3-7-sonnet@20250219,0.01,,
completeness,2,1.9,False,0.9,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,claude-3-7-sonnet@20250219,0.1,,
accuracy,2,2.0,True,1.0,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,o3-mini,,,
completeness,2,1.92,True,0.92,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,o3-mini,0.08,,
accuracy,2,2.0,True,1.0,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,claude-3-7-sonnet@20250219,,,
completeness,2,2.0,True,1.0,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,claude-3-7-sonnet@20250219,,,
accuracy,2,2.03,True,0.97,0.03,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,o3-mini,,,
completeness,2,2.0,True,1.0,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,o3-mini,,,
accuracy,3,3.1,False,,0.9,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,claude-3-7-sonnet@20250219,,,0.1
completeness,2,2.04,True,0.96,0.04,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,claude-3-7-sonnet@20250219,,,
accuracy,2,2.05,True,0.95,0.05,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,o3-mini,,,
completeness,3,2.95,True,0.05,0.95,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,o3-mini,,,
accuracy,2,2.0,True,1.0,,GenerateBaseComponent,component_generation,,1,claude-3-7-sonnet@20250219,,,
completeness,2,2.0,True,1.0,,GenerateBaseComponent,component_generation,,1,claude-3-7-sonnet@20250219,,,
accuracy,4,4.0,True,,,GenerateBaseComponent,component_generation,,1,o3-mini,,,1.0
completeness,3,3.0,True,,1.0,GenerateBaseComponent,component_generation,,1,o3-mini,,,
accuracy,2,2.0,True,1.0,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,,,
completeness,2,2.27,False,0.73,0.27,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,,,
accuracy,3,3.03,True,,0.97,GenerateReactApp,component_generation,,2,o3-mini,,,0.03
completeness,2,2.0,True,1.0,,GenerateReactApp,component_generation,,2,o3-mini,,,
accuracy,2,2.0,True,1.0,,GenerateReactApp,component_generation,,2,claude-3-7-sonnet@20250219,,,
