Experiment,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness
code_analysis,EvaluateCodeQuality,React,Grok2_1212,ReactSignUp,high,low,1,1316,0,2555,38.965815782547,3.44,4.0
code_analysis,EvaluateCodeQuality,React,Grok2_1212,ToDoApp_ReactJS,high,avg,1,3350,0,2261,36.62073087692261,4.0,3.5
code_analysis,EvaluateCodeQuality,Angular,Grok2_1212,AngularCosmoPage,avg,high,1,5468,0,1820,28.025519132614136,1.99,1.03
code_explanation,DescribeTechnicalImplementation,Angular,Grok2_1212,AngularCosmoPage,avg,high,1,5426,0,1420,22.079278707504272,4.0,4.0
code_explanation,DescribeTechnicalImplementation,React,Grok2_1212,ReactSignUp,high,low,1,1274,0,903,13.992364883422852,4.0,2.71
code_explanation,DescribeTechnicalImplementation,React,Grok2_1212,ToDoApp_ReactJS,high,avg,1,3308,0,1526,23.24709177017212,4.0,4.0
component_generation,ModifyReactApp,React,Grok2_1212,ReactFetchAPI,avg,low,1,372,0,610,9.997997999191284,4.0,4.0
component_generation,GenerateBaseComponent,none,Grok2_1212,none,none,none,1,196,0,1403,24.765846014022827,4.0,4.0
component_generation,GenerateReactApp,none,Grok2_1212,none,none,none,1,185,0,699,10.83663010597229,3.01,4.0
solution_documentation,BusinessFunctionality,React,Grok2_1212,ReactSignUp,high,low,1,1193,0,942,16.298138856887817,4.0,3.88
solution_documentation,BusinessFunctionality,React,Grok2_1212,ToDoApp_ReactJS,high,avg,1,3227,0,1030,16.457163095474243,4.0,4.0
solution_documentation,BusinessFunctionality,Angular,Grok2_1212,AngularCosmoPage,avg,high,1,5345,0,1028,16.489598989486694,3.1,4.0
solution_migration,ReactToAngular,React,Grok2_1212,ToDoApp_ReactJS,high,avg,1,3285,0,3009,48.99905610084534,4.0,3.0
solution_migration,jQueryToReact,jQuery,Grok2_1212,ToDoApp_jQuery,high,low,1,2379,0,2740,45.40165185928345,4.0,4.0
solution_migration,AngularToReact,Angular,Grok2_1212,AngularCosmoPage,avg,high,1,5381,0,3850,58.600672006607056,4.0,4.0
solution_migration,UpdateReact,React,Grok2_1212,ToDoApp_ReactJS,high,avg,1,3271,0,2689,41.64826512336731,4.0,4.0
solution_migration,UpdateAngular,Angular,Grok2_1212,ToDoApp_AngularJS,avg,avg_2,1,2313,0,2901,51.44816112518311,3.22,3.04
solution_migration,ReactToAngular,React,Grok2_1212,ReactSignUp,high,low,1,1251,0,1578,24.10611915588379,3.85,3.01
solution_migration,VanillaToReact,NativeJS,Grok2_1212,Piano_NativeJS,high,low,1,1365,0,3210,50.25042104721069,4.0,4.0
solution_template_generation,GenerateProjectConfiguration,none,Grok2_1212,none,none,none,1,128,0,633,9.890526294708252,,
test_generation,WriteTestsForLegacyCode,React,Grok2_1212,ReactSignUp,high,low,1,1203,0,1904,28.795006036758423,3.01,3.88
test_generation,WriteTestsForLegacyCode,React,Grok2_1212,ToDoApp_ReactJS,high,avg,1,3237,0,2873,45.87661910057068,4.0,2.98
test_generation,WriteTestsForLegacyCode,Angular,Grok2_1212,AngularCosmoPage,avg,high,1,5355,0,2271,36.81853199005127,1.5,1.03
test_generation,WriteTestsForActualCode,React,Grok2_1212,ReactSelect,extra_high,high,1,15757,0,1795,30.399331092834476,4.0,3.38
