Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,Grok3_beta,ToDoApp_ReactJS,high,avg,1,3514,0,4857,49.88,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,jQueryToReact,jQuery,Grok3_beta,ToDoApp_jQuery,high,low,1,2521,0,3508,37.3,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,AngularToReact,Angular,Grok3_beta,AngularCosmoPage,avg,high,1,5756,0,4826,46.37,3.29,2.1,3.5,2.22,3.08,1.99
code_translation,solution_migration,UpdateReact,React,Grok3_beta,ToDoApp_ReactJS,high,avg,1,3490,0,4085,38.76,3.76,4.0,3.9,4.0,3.62,4.0
code_translation,solution_migration,UpdateAngular,Angular,Grok3_beta,ToDoApp_AngularJS,avg,avg_2,1,2478,0,4018,44.04,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,ReactToAngular,React,Grok3_beta,ReactSignUp,high,low,1,1478,0,2716,33.74,3.75,3.56,4.0,4.0,3.5,3.12
code_translation,solution_migration,VanillaToReact,NativeJS,Grok3_beta,Piano_NativeJS,high,low,1,1638,0,2644,41.84,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,ModifyReactApp,React,Grok3_beta,ReactFetchAPI,avg,low,1,562,0,1467,19.25,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateBaseComponent,none,Grok3_beta,none,none,none,1,287,0,2286,28.45,3.5,3.59,3.0,4.0,4.0,3.18
code_generation,component_generation,GenerateReactApp,none,Grok3_beta,none,none,none,1,294,0,1834,20.8,3.5,4.0,4.0,4.0,3.01,4.0
code_generation,test_generation,WriteTestsForLegacyCode,React,Grok3_beta,ReactSignUp,high,low,1,1464,0,2374,32.47,4.0,3.52,4.0,4.0,4.0,3.04
code_generation,test_generation,WriteTestsForLegacyCode,React,Grok3_beta,ToDoApp_ReactJS,high,avg,1,3502,0,3390,35.05,4.0,3.98,4.0,4.0,4.0,3.96
code_generation,test_generation,WriteTestsForLegacyCode,Angular,Grok3_beta,AngularCosmoPage,avg,high,1,5632,0,3448,37.78,4.0,3.01,4.0,3.02,4.0,3.0
code_generation,test_generation,WriteTestsForActualCode,React,Grok3_beta,ReactSelect,extra_high,high,1,15994,0,2386,32.83,3.89,2.06,4.0,2.12,3.78,2.0
code_generation,solution_template_generation,GenerateProjectConfiguration,none,Grok3_beta,none,none,none,1,273,0,2759,37.74,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Grok3_beta,ReactSignUp,high,low,1,1431,0,2122,29.23,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Grok3_beta,ToDoApp_ReactJS,high,avg,1,3456,0,2090,34.19,2.91,2.43,3.0,2.08,2.82,2.78
code_documentation,code_analysis,EvaluateCodeQuality,Angular,Grok3_beta,AngularCosmoPage,avg,high,1,5603,0,2477,29.33,4.0,0.99,4.0,0.0,4.0,1.98
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,Grok3_beta,AngularCosmoPage,avg,high,1,5552,0,2886,36.59,2.69,2.66,2.38,3.18,3.0,2.15
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Grok3_beta,ReactSignUp,high,low,1,1410,0,1539,24.76,3.04,4.0,3.0,4.0,3.08,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Grok3_beta,ToDoApp_ReactJS,high,avg,1,3418,0,1662,22.06,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,React,Grok3_beta,ReactSignUp,high,low,1,1389,0,2541,37.49,3.99,4.0,4.0,4.0,3.98,3.99
code_documentation,solution_documentation,BusinessFunctionality,React,Grok3_beta,ToDoApp_ReactJS,high,avg,1,3382,0,3049,39.03,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,Angular,Grok3_beta,AngularCosmoPage,avg,high,1,5552,0,2567,42.23,4.0,3.04,4.0,3.05,4.0,3.04
