Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,Grok3mini_beta,ToDoApp_ReactJS,high,avg,1,3515,11490,4914,106.24,3.06,3.39,3.01,2.78,3.1,4.0
code_translation,solution_migration,jQueryToReact,jQuery,Grok3mini_beta,ToDoApp_jQuery,high,low,1,2522,10535,4030,83.32,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,AngularToReact,Angular,Grok3mini_beta,AngularCosmoPage,avg,high,1,5757,4654,5914,67.73,4.0,3.05,4.0,4.0,4.0,2.1
code_translation,solution_migration,UpdateReact,React,Grok3mini_beta,ToDoApp_ReactJS,high,avg,1,3491,9309,4321,104.79,3.7,4.0,3.78,4.0,3.62,4.0
code_translation,solution_migration,UpdateAngular,Angular,Grok3mini_beta,ToDoApp_AngularJS,avg,avg_2,1,2479,14389,4990,125.94,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,ReactToAngular,React,Grok3mini_beta,ReactSignUp,high,low,1,1479,9238,1721,62.92,4.0,3.94,4.0,4.0,4.0,3.88
code_translation,solution_migration,VanillaToReact,NativeJS,Grok3mini_beta,Piano_NativeJS,high,low,1,1639,10723,3730,107.88,3.61,4.0,4.0,4.0,3.22,4.0
code_generation,component_generation,ModifyReactApp,React,Grok3mini_beta,ReactFetchAPI,avg,low,1,563,4071,1743,37.59,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateBaseComponent,none,Grok3mini_beta,none,none,none,1,288,7833,2574,85.63,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateReactApp,none,Grok3mini_beta,none,none,none,1,295,2778,1277,26.11,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,React,Grok3mini_beta,ReactSignUp,high,low,1,1465,8812,3741,90.81,4.0,3.53,4.0,4.0,4.0,3.06
code_generation,test_generation,WriteTestsForLegacyCode,React,Grok3mini_beta,ToDoApp_ReactJS,high,avg,1,3503,11955,5909,118.3,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,Angular,Grok3mini_beta,AngularCosmoPage,avg,high,1,5633,3308,5330,51.61,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForActualCode,React,Grok3mini_beta,ReactSelect,extra_high,high,1,15995,3882,3989,53.45,4.0,3.5,4.0,3.99,4.0,3.0
code_generation,solution_template_generation,GenerateProjectConfiguration,none,Grok3mini_beta,none,none,none,1,274,3595,1483,35.4,4.0,3.55,4.0,3.1,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Grok3mini_beta,ReactSignUp,high,low,1,1432,1572,4642,42.92,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Grok3mini_beta,ToDoApp_ReactJS,high,avg,1,3457,982,4469,29.58,3.52,2.61,4.0,2.22,3.04,3.0
code_documentation,code_analysis,EvaluateCodeQuality,Angular,Grok3mini_beta,AngularCosmoPage,avg,high,1,5604,896,5850,37.51,4.0,1.5,4.0,0.0,4.0,3.0
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,Grok3mini_beta,AngularCosmoPage,avg,high,1,5553,768,4104,30.85,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Grok3mini_beta,ReactSignUp,high,low,1,1411,725,3507,25.63,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Grok3mini_beta,ToDoApp_ReactJS,high,avg,1,3419,997,3025,25.6,4.0,3.5,4.0,3.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,React,Grok3mini_beta,ReactSignUp,high,low,1,1390,1265,3920,27.92,3.5,4.0,4.0,4.0,3.0,3.99
code_documentation,solution_documentation,BusinessFunctionality,React,Grok3mini_beta,ToDoApp_ReactJS,high,avg,1,3383,1657,3959,35.3,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,Angular,Grok3mini_beta,AngularCosmoPage,avg,high,1,5553,1426,4052,30.25,4.0,4.0,4.0,4.0,4.0,4.0
