Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,Grok4_0709,ToDoApp_ReactJS,high,avg,1,3515,4971,3369,163.44,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,jQueryToReact,jQuery,Grok4_0709,ToDoApp_jQuery,high,low,1,2522,3801,2932,122.78,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,AngularToReact,Angular,Grok4_0709,AngularCosmoPage,avg,high,1,5757,2644,6094,135.17,3.5,4.0,4.0,4.0,3.01,4.0
code_translation,solution_migration,UpdateReact,React,Grok4_0709,ToDoApp_ReactJS,high,avg,1,3491,3590,3278,185.64,3.68,4.0,3.68,4.0,3.68,4.0
code_translation,solution_migration,UpdateAngular,Angular,Grok4_0709,ToDoApp_AngularJS,avg,avg_2,1,2479,7252,4028,255.16,3.45,4.0,3.9,4.0,3.0,4.0
code_translation,solution_migration,ReactToAngular,React,Grok4_0709,ReactSignUp,high,low,1,1479,8958,1391,290.48,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,VanillaToReact,NativeJS,Grok4_0709,Piano_NativeJS,high,low,1,1639,7144,2101,318.92,3.52,4.0,4.0,4.0,3.04,4.0
code_generation,component_generation,ModifyReactApp,React,Grok4_0709,ReactFetchAPI,avg,low,1,563,1709,718,48.15,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateBaseComponent,none,Grok4_0709,none,none,none,1,288,8184,1687,260.55,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateReactApp,none,Grok4_0709,none,none,none,1,295,406,1219,111.0,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,React,Grok4_0709,ReactSignUp,high,low,1,1465,490,2365,86.43,4.0,3.66,4.0,4.0,4.0,3.32
code_generation,test_generation,WriteTestsForLegacyCode,React,Grok4_0709,ToDoApp_ReactJS,high,avg,1,3503,316,4382,102.72,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,Angular,Grok4_0709,AngularCosmoPage,avg,high,1,5633,289,4308,53.58,4.0,3.72,4.0,4.0,4.0,3.44
code_generation,test_generation,WriteTestsForActualCode,React,Grok4_0709,ReactSelect,extra_high,high,1,15995,309,3337,82.34,4.0,3.12,4.0,3.5,4.0,2.73
code_generation,solution_template_generation,GenerateProjectConfiguration,none,Grok4_0709,none,none,none,1,274,664,1817,62.15,4.0,3.58,4.0,3.15,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Grok4_0709,ReactSignUp,high,low,1,1432,395,2678,58.11,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Grok4_0709,ToDoApp_ReactJS,high,avg,1,3457,428,2567,74.19,3.96,3.08,4.0,0.04,3.92,3.08
code_documentation,code_analysis,EvaluateCodeQuality,Angular,Grok4_0709,AngularCosmoPage,avg,high,1,5604,271,3032,49.34,4.0,2.06,4.0,2.0,4.0,2.12
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,Grok4_0709,AngularCosmoPage,avg,high,1,5553,249,3255,50.59,3.92,4.0,4.0,4.0,3.85,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Grok4_0709,ReactSignUp,high,low,1,1411,414,2519,42.33,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Grok4_0709,ToDoApp_ReactJS,high,avg,1,3419,374,2221,69.62,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,React,Grok4_0709,ReactSignUp,high,low,1,1397,417,2731,65.57,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,React,Grok4_0709,ToDoApp_ReactJS,high,avg,1,3390,472,2519,60.86,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,Angular,Grok4_0709,AngularCosmoPage,avg,high,1,5560,559,2996,149.93,4.0,4.0,4.0,4.0,4.0,4.0
