Experiment,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness
code_analysis,EvaluateCodeQuality,React,GrokBeta,ReactSignUp,high,low,1,1316,0,1590,31.358530044555664,4.0,3.0
code_analysis,EvaluateCodeQuality,React,GrokBeta,ToDoApp_ReactJS,high,avg,1,3350,0,1288,24.5561420917511,2.98,4.0
code_analysis,EvaluateCodeQuality,Angular,GrokBeta,AngularCosmoPage,avg,high,1,5468,0,1682,32.99404811859131,2.0,1.98
code_explanation,DescribeTechnicalImplementation,Angular,GrokBeta,AngularCosmoPage,avg,high,1,5426,0,1048,19.793580055236816,4.0,4.0
code_explanation,DescribeTechnicalImplementation,React,GrokBeta,ReactSignUp,high,low,1,1274,0,803,16.417136907577515,4.0,2.38
code_explanation,DescribeTechnicalImplementation,React,GrokBeta,ToDoApp_ReactJS,high,avg,1,3308,0,1016,18.893880128860477,4.0,4.0
component_generation,ModifyReactApp,React,GrokBeta,ReactFetchAPI,avg,low,1,372,0,520,9.95484185218811,4.0,4.0
component_generation,GenerateBaseComponent,none,GrokBeta,none,none,none,1,196,0,1146,20.83662414550781,4.0,4.0
component_generation,GenerateReactApp,none,GrokBeta,none,none,none,1,185,0,921,18.487571954727173,3.62,3.0
solution_documentation,BusinessFunctionality,React,GrokBeta,ReactSignUp,high,low,1,1193,0,698,12.263169050216677,3.27,4.0
solution_documentation,BusinessFunctionality,React,GrokBeta,ToDoApp_ReactJS,high,avg,1,3227,0,769,16.299195051193237,4.0,4.0
solution_documentation,BusinessFunctionality,Angular,GrokBeta,AngularCosmoPage,avg,high,1,5345,0,893,15.672558069229126,1.97,2.06
solution_migration,ReactToAngular,React,GrokBeta,ToDoApp_ReactJS,high,avg,1,3285,0,2173,40.68074011802673,2.02,2.29
solution_migration,jQueryToReact,jQuery,GrokBeta,ToDoApp_jQuery,high,low,1,2379,0,2128,36.90601682662964,4.0,2.73
solution_migration,AngularToReact,Angular,GrokBeta,AngularCosmoPage,avg,high,1,5381,0,2780,54.96692514419556,3.01,3.0
solution_migration,UpdateReact,React,GrokBeta,ToDoApp_ReactJS,high,avg,1,3271,0,2777,50.93153429031372,4.0,4.0
solution_migration,UpdateAngular,Angular,GrokBeta,ToDoApp_AngularJS,avg,avg_2,1,2313,0,2289,40.59107398986816,2.82,3.03
solution_migration,ReactToAngular,React,GrokBeta,ReactSignUp,high,low,1,1251,0,1373,28.214602947235107,2.5,3.0
solution_migration,VanillaToReact,NativeJS,GrokBeta,Piano_NativeJS,high,low,1,1365,0,1816,41.02371001243591,4.0,4.0
solution_template_generation,GenerateProjectConfiguration,none,GrokBeta,none,none,none,1,128,0,774,15.295543909072876,,
test_generation,WriteTestsForLegacyCode,React,GrokBeta,ReactSignUp,high,low,1,1203,0,1226,22.173467874526978,4.0,2.18
test_generation,WriteTestsForLegacyCode,React,GrokBeta,ToDoApp_ReactJS,high,avg,1,3237,0,1099,20.238590955734253,3.01,0.27
test_generation,WriteTestsForLegacyCode,Angular,GrokBeta,AngularCosmoPage,avg,high,1,5355,0,1023,21.23287606239319,1.98,0.94
test_generation,WriteTestsForActualCode,React,GrokBeta,ReactSelect,extra_high,high,1,15757,0,1386,32.24237060546875,4.0,1.88
