Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,Llama_4_Maverick,ToDoApp_ReactJS,high,avg,1,3531,0,2848,26.35,3.12,1.05,2.73,1.0,3.5,1.1
code_translation,solution_migration,jQueryToReact,jQuery,Llama_4_Maverick,ToDoApp_jQuery,high,low,1,2552,0,2106,20.6,2.53,2.5,2.99,4.0,2.06,1.0
code_translation,solution_migration,AngularToReact,Angular,Llama_4_Maverick,AngularCosmoPage,avg,high,1,5773,0,1419,12.95,3.19,0.02,3.0,0.01,3.38,0.02
code_translation,solution_migration,UpdateReact,React,Llama_4_Maverick,ToDoApp_ReactJS,high,avg,1,3510,0,2789,28.47,2.41,3.99,2.0,3.99,2.82,3.98
code_translation,solution_migration,UpdateAngular,Angular,Llama_4_Maverick,ToDoApp_AngularJS,avg,avg_2,1,2511,0,3068,28.91,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,ReactToAngular,React,Llama_4_Maverick,ReactSignUp,high,low,1,1487,0,1692,15.66,2.56,1.99,3.0,1.98,2.12,2.0
code_translation,solution_migration,VanillaToReact,NativeJS,Llama_4_Maverick,Piano_NativeJS,high,low,1,1655,0,2737,25.99,4.0,3.39,4.0,4.0,4.0,2.78
code_generation,component_generation,ModifyReactApp,React,Llama_4_Maverick,ReactFetchAPI,avg,low,1,570,0,1188,10.52,4.0,3.0,4.0,3.0,4.0,3.0
code_generation,component_generation,GenerateBaseComponent,none,Llama_4_Maverick,none,none,none,1,293,0,1386,11.77,3.02,4.0,3.0,4.0,3.05,4.0
code_generation,component_generation,GenerateReactApp,none,Llama_4_Maverick,none,none,none,1,300,0,1034,10.36,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,React,Llama_4_Maverick,ReactSignUp,high,low,1,1475,0,1888,18.79,3.5,3.08,4.0,4.0,3.01,2.15
code_generation,test_generation,WriteTestsForLegacyCode,React,Llama_4_Maverick,ToDoApp_ReactJS,high,avg,1,3519,0,1373,12.22,4.0,0.58,3.99,0.9,4.0,0.27
code_generation,test_generation,WriteTestsForLegacyCode,Angular,Llama_4_Maverick,AngularCosmoPage,avg,high,1,5650,0,1130,11.97,3.02,0.0,3.0,0.0,3.04,0.0
code_generation,test_generation,WriteTestsForActualCode,React,Llama_4_Maverick,ReactSelect,extra_high,high,1,16074,0,1871,18.43,2.55,1.88,2.0,2.62,3.1,1.15
code_generation,solution_template_generation,GenerateProjectConfiguration,none,Llama_4_Maverick,none,none,none,1,277,0,1896,18.15,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Llama_4_Maverick,ReactSignUp,high,low,1,1438,0,1468,14.9,4.0,3.51,4.0,3.03,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Llama_4_Maverick,ToDoApp_ReactJS,high,avg,1,3474,0,1411,14.7,3.0,2.08,4.0,1.27,2.0,2.9
code_documentation,code_analysis,EvaluateCodeQuality,Angular,Llama_4_Maverick,AngularCosmoPage,avg,high,1,5619,0,956,10.7,4.0,0.52,4.0,0.03,4.0,1.0
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,Llama_4_Maverick,AngularCosmoPage,avg,high,1,5569,0,1149,12.43,1.0,2.0,1.0,2.0,1.0,2.01
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Llama_4_Maverick,ReactSignUp,high,low,1,1419,0,885,8.24,4.0,3.02,4.0,3.01,4.0,3.04
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Llama_4_Maverick,ToDoApp_ReactJS,high,avg,1,3436,0,1774,15.8,4.0,3.42,4.0,3.01,4.0,3.82
code_documentation,solution_documentation,BusinessFunctionality,React,Llama_4_Maverick,ReactSignUp,high,low,1,1395,0,1187,12.86,1.88,2.45,1.78,3.0,1.98,1.9
code_documentation,solution_documentation,BusinessFunctionality,React,Llama_4_Maverick,ToDoApp_ReactJS,high,avg,1,3398,0,1291,12.14,2.0,3.53,2.01,3.08,2.0,3.98
code_documentation,solution_documentation,BusinessFunctionality,Angular,Llama_4_Maverick,AngularCosmoPage,avg,high,1,5568,0,1598,16.04,2.19,1.84,2.38,2.01,2.0,1.68
