Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,OpenAi_o1_1217,ToDoApp_ReactJS,high,avg,1,3533,1088,6468,93.4,3.5,3.72,4.0,4.0,3.0,3.44
code_translation,solution_migration,jQueryToReact,jQuery,OpenAi_o1_1217,ToDoApp_jQuery,high,low,1,2554,1216,5072,113.2,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,AngularToReact,Angular,OpenAi_o1_1217,AngularCosmoPage,avg,high,1,5784,832,4573,60.73,3.5,2.22,4.0,3.0,3.0,1.44
code_translation,solution_migration,UpdateReact,React,OpenAi_o1_1217,ToDoApp_ReactJS,high,avg,1,3512,1792,5744,82.8,3.48,4.0,3.15,4.0,3.82,4.0
code_translation,solution_migration,UpdateAngular,Angular,OpenAi_o1_1217,ToDoApp_AngularJS,avg,avg_2,1,2504,704,5789,161.79,3.91,3.5,3.82,4.0,4.0,3.0
code_translation,solution_migration,ReactToAngular,React,OpenAi_o1_1217,ReactSignUp,high,low,1,1485,1536,3344,61.45,3.36,3.47,3.56,3.95,3.15,2.99
code_translation,solution_migration,VanillaToReact,NativeJS,OpenAi_o1_1217,Piano_NativeJS,high,low,1,1669,1664,4765,54.0,3.94,4.0,4.0,4.0,3.88,4.0
code_generation,component_generation,ModifyReactApp,React,OpenAi_o1_1217,ReactFetchAPI,avg,low,1,570,1728,2967,59.68,4.0,3.72,4.0,4.0,4.0,3.44
code_generation,component_generation,GenerateBaseComponent,none,OpenAi_o1_1217,none,none,none,1,289,960,2962,65.09,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateReactApp,none,OpenAi_o1_1217,none,none,none,1,299,576,1186,18.61,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,React,OpenAi_o1_1217,ReactSignUp,high,low,1,1472,320,3122,47.17,4.0,3.0,4.0,4.0,4.0,2.0
code_generation,test_generation,WriteTestsForLegacyCode,React,OpenAi_o1_1217,ToDoApp_ReactJS,high,avg,1,3525,832,5189,144.64,4.0,1.99,4.0,1.98,4.0,2.0
code_generation,test_generation,WriteTestsForLegacyCode,Angular,OpenAi_o1_1217,AngularCosmoPage,avg,high,1,5662,896,4193,66.24,4.0,1.63,4.0,1.94,4.0,1.32
code_generation,test_generation,WriteTestsForActualCode,React,OpenAi_o1_1217,ReactSelect,extra_high,high,1,16066,640,3670,45.54,4.0,2.0,3.99,2.01,4.0,2.0
code_generation,solution_template_generation,GenerateProjectConfiguration,none,OpenAi_o1_1217,none,none,none,1,275,1664,2954,42.69,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,OpenAi_o1_1217,ReactSignUp,high,low,1,1436,640,3186,51.21,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,OpenAi_o1_1217,ToDoApp_ReactJS,high,avg,1,3478,640,2982,62.26,2.72,2.43,3.44,2.78,1.99,2.08
code_documentation,code_analysis,EvaluateCodeQuality,Angular,OpenAi_o1_1217,AngularCosmoPage,avg,high,1,5628,832,3173,47.6,4.0,1.06,4.0,1.0,4.0,1.12
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,OpenAi_o1_1217,AngularCosmoPage,avg,high,1,5580,768,3449,48.32,3.2,3.01,3.08,3.0,3.32,3.03
code_documentation,code_explanation,DescribeTechnicalImplementation,React,OpenAi_o1_1217,ReactSignUp,high,low,1,1417,704,2656,40.07,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,OpenAi_o1_1217,ToDoApp_ReactJS,high,avg,1,3440,832,3576,133.12,3.86,4.0,3.73,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,React,OpenAi_o1_1217,ReactSignUp,high,low,1,1394,576,2517,48.52,1.95,2.34,2.0,2.73,1.9,1.95
code_documentation,solution_documentation,BusinessFunctionality,React,OpenAi_o1_1217,ToDoApp_ReactJS,high,avg,1,3401,128,2118,36.71,4.0,3.41,4.0,3.0,4.0,3.82
code_documentation,solution_documentation,BusinessFunctionality,Angular,OpenAi_o1_1217,AngularCosmoPage,avg,high,1,5578,576,2634,40.47,3.53,2.99,4.0,3.0,3.06,2.97
