Experiment,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness
code_analysis,EvaluateCodeQuality,React,OpenAi_o1_mini_0912,ReactSignUp,high,low,1,1403,128,3928,22.68568181991577,4.0,4.0
code_analysis,EvaluateCodeQuality,React,OpenAi_o1_mini_0912,ToDoApp_ReactJS,high,avg,1,3465,3712,10153,59.99724197387695,4.0,4.0
code_analysis,EvaluateCodeQuality,Angular,OpenAi_o1_mini_0912,AngularCosmoPage,avg,high,1,5613,128,3992,22.21404218673706,1.6099999999999999,4.0
code_explanation,DescribeTechnicalImplementation,Angular,OpenAi_o1_mini_0912,AngularCosmoPage,avg,high,1,5558,192,3153,23.41379189491272,4.0,3.01
code_explanation,DescribeTechnicalImplementation,React,OpenAi_o1_mini_0912,ReactSignUp,high,low,1,1348,448,2569,17.195993900299072,4.0,4.0
code_explanation,DescribeTechnicalImplementation,React,OpenAi_o1_mini_0912,ToDoApp_ReactJS,high,avg,1,3410,320,3061,18.800178050994877,4.0,4.0
component_generation,ModifyReactApp,React,OpenAi_o1_mini_0912,ReactFetchAPI,avg,low,1,363,1984,2345,12.955504179000854,4.0,4.0
component_generation,GenerateBaseComponent,none,OpenAi_o1_mini_0912,none,none,none,1,168,640,1915,10.425794124603271,4.0,4.0
component_generation,GenerateReactApp,none,OpenAi_o1_mini_0912,none,none,none,1,158,448,855,4.767744064331055,3.92,4.0
solution_documentation,BusinessFunctionality,React,OpenAi_o1_mini_0912,ReactSignUp,high,low,1,1270,128,1461,7.883983135223389,4.0,4.0
solution_documentation,BusinessFunctionality,React,OpenAi_o1_mini_0912,ToDoApp_ReactJS,high,avg,1,3332,320,1877,18.39182996749878,4.0,4.0
solution_documentation,BusinessFunctionality,Angular,OpenAi_o1_mini_0912,AngularCosmoPage,avg,high,1,5480,1088,2714,15.428571939468384,4.0,4.0
solution_migration,ReactToAngular,React,OpenAi_o1_mini_0912,ToDoApp_ReactJS,high,avg,1,3368,5248,8514,100.39575600624084,4.0,4.0
solution_migration,jQueryToReact,jQuery,OpenAi_o1_mini_0912,ToDoApp_jQuery,high,low,1,2350,512,3504,19.3783438205719,4.0,4.0
solution_migration,AngularToReact,Angular,OpenAi_o1_mini_0912,AngularCosmoPage,avg,high,1,5498,768,5558,60.26527500152588,4.0,4.0
solution_migration,UpdateReact,React,OpenAi_o1_mini_0912,ToDoApp_ReactJS,high,avg,1,3358,4224,7709,43.43505597114563,4.0,4.0
solution_migration,UpdateAngular,Angular,OpenAi_o1_mini_0912,ToDoApp_AngularJS,avg,avg_2,1,2401,832,5676,30.817461013793945,4.0,4.0
solution_migration,ReactToAngular,React,OpenAi_o1_mini_0912,ReactSignUp,high,low,1,1306,2176,4312,22.93836498260498,2.0,4.0
solution_migration,VanillaToReact,NativeJS,OpenAi_o1_mini_0912,Piano_NativeJS,high,low,1,1423,4608,6743,34.30147624015808,4.0,2.85
solution_template_generation,GenerateProjectConfiguration,none,OpenAi_o1_mini_0912,none,none,none,1,95,384,1850,10.376755952835085,,
test_generation,WriteTestsForLegacyCode,React,OpenAi_o1_mini_0912,ReactSignUp,high,low,1,1259,3200,5291,25.721681118011475,2.95,3.95
test_generation,WriteTestsForLegacyCode,React,OpenAi_o1_mini_0912,ToDoApp_ReactJS,high,avg,1,3321,448,7577,42.174331188201904,3.0,4.0
test_generation,WriteTestsForLegacyCode,Angular,OpenAi_o1_mini_0912,AngularCosmoPage,avg,high,1,5469,576,5476,30.9730806350708,2.96,2.9
test_generation,WriteTestsForActualCode,React,OpenAi_o1_mini_0912,ReactSelect,extra_high,high,1,15993,1088,3660,29.490604162216187,4.0,3.01
