Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,OpenAi_o3_mini_0131,ToDoApp_ReactJS,high,avg,1,3533,1152,5641,44.07,3.01,4.0,3.01,4.0,3.02,4.0
code_translation,solution_migration,jQueryToReact,jQuery,OpenAi_o3_mini_0131,ToDoApp_jQuery,high,low,1,2554,832,4268,35.61,3.53,4.0,4.0,4.0,3.06,4.0
code_translation,solution_migration,AngularToReact,Angular,OpenAi_o3_mini_0131,AngularCosmoPage,avg,high,1,5784,576,4986,48.42,3.91,3.0,4.0,3.0,3.82,3.0
code_translation,solution_migration,UpdateReact,React,OpenAi_o3_mini_0131,ToDoApp_ReactJS,high,avg,1,3512,3968,7727,68.44,3.39,4.0,3.0,4.0,3.78,4.0
code_translation,solution_migration,UpdateAngular,Angular,OpenAi_o3_mini_0131,ToDoApp_AngularJS,avg,avg_2,1,2504,1216,5330,44.13,4.0,3.33,4.0,3.44,4.0,3.22
code_translation,solution_migration,ReactToAngular,React,OpenAi_o3_mini_0131,ReactSignUp,high,low,1,1485,3200,4957,50.65,3.88,3.48,3.94,3.96,3.82,3.0
code_translation,solution_migration,VanillaToReact,NativeJS,OpenAi_o3_mini_0131,Piano_NativeJS,high,low,1,1669,2688,6277,41.32,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,ModifyReactApp,React,OpenAi_o3_mini_0131,ReactFetchAPI,avg,low,1,570,1344,2604,19.04,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateBaseComponent,none,OpenAi_o3_mini_0131,none,none,none,1,289,320,1913,22.95,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateReactApp,none,OpenAi_o3_mini_0131,none,none,none,1,299,640,1406,17.47,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,React,OpenAi_o3_mini_0131,ReactSignUp,high,low,1,1472,1280,3921,24.61,4.0,3.5,4.0,4.0,4.0,3.0
code_generation,test_generation,WriteTestsForLegacyCode,React,OpenAi_o3_mini_0131,ToDoApp_ReactJS,high,avg,1,3525,832,4784,37.94,4.0,2.51,4.0,2.02,4.0,3.01
code_generation,test_generation,WriteTestsForLegacyCode,Angular,OpenAi_o3_mini_0131,AngularCosmoPage,avg,high,1,5662,896,4972,33.6,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForActualCode,React,OpenAi_o3_mini_0131,ReactSelect,extra_high,high,1,16066,2048,4644,33.81,3.5,1.49,3.0,1.88,4.0,1.1
code_generation,solution_template_generation,GenerateProjectConfiguration,none,OpenAi_o3_mini_0131,none,none,none,1,275,1984,3525,36.89,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,OpenAi_o3_mini_0131,ReactSignUp,high,low,1,1436,192,2222,19.67,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,OpenAi_o3_mini_0131,ToDoApp_ReactJS,high,avg,1,3478,576,3785,40.7,3.99,2.04,4.0,1.99,3.98,2.08
code_documentation,code_analysis,EvaluateCodeQuality,Angular,OpenAi_o3_mini_0131,AngularCosmoPage,avg,high,1,5628,192,2982,21.91,4.0,1.86,4.0,1.73,4.0,1.99
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,OpenAi_o3_mini_0131,AngularCosmoPage,avg,high,1,5580,704,3170,30.1,3.44,3.5,3.5,4.0,3.38,3.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,OpenAi_o3_mini_0131,ReactSignUp,high,low,1,1417,512,2347,18.52,3.5,4.0,3.56,4.0,3.44,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,OpenAi_o3_mini_0131,ToDoApp_ReactJS,high,avg,1,3440,576,3022,26.75,3.99,4.0,3.98,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,React,OpenAi_o3_mini_0131,ReactSignUp,high,low,1,1394,448,2620,22.47,3.5,3.5,4.0,4.0,3.0,3.01
code_documentation,solution_documentation,BusinessFunctionality,React,OpenAi_o3_mini_0131,ToDoApp_ReactJS,high,avg,1,3401,192,2291,24.49,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,Angular,OpenAi_o3_mini_0131,AngularCosmoPage,avg,high,1,5578,576,3009,24.21,4.0,3.5,4.0,4.0,4.0,3.01
