Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,OpenAi_o3_pro_0610,ToDoApp_ReactJS,high,avg,1,3533,896,5695,247.68,3.51,4.0,4.0,4.0,3.03,4.0
code_translation,solution_migration,jQueryToReact,jQuery,OpenAi_o3_pro_0610,ToDoApp_jQuery,high,low,1,2554,1280,4953,336.0,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,AngularToReact,Angular,OpenAi_o3_pro_0610,AngularCosmoPage,avg,high,1,5784,960,5636,214.67,4.0,3.0,4.0,3.0,4.0,3.0
code_translation,solution_migration,UpdateReact,React,OpenAi_o3_pro_0610,ToDoApp_ReactJS,high,avg,1,3512,384,4043,396.63,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,UpdateAngular,Angular,OpenAi_o3_pro_0610,ToDoApp_AngularJS,avg,avg_2,1,2504,832,4800,396.71,4.0,2.56,4.0,2.99,4.0,2.12
code_translation,solution_migration,ReactToAngular,React,OpenAi_o3_pro_0610,ReactSignUp,high,low,1,1485,896,3440,365.93,4.0,4.0,4.0,4.0,4.0,4.0
code_translation,solution_migration,VanillaToReact,NativeJS,OpenAi_o3_pro_0610,Piano_NativeJS,high,low,1,1669,3712,6406,274.76,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,ModifyReactApp,React,OpenAi_o3_pro_0610,ReactFetchAPI,avg,low,1,570,1728,3335,365.87,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateBaseComponent,none,OpenAi_o3_pro_0610,none,none,none,1,289,896,3309,336.0,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,component_generation,GenerateReactApp,none,OpenAi_o3_pro_0610,none,none,none,1,299,1344,2465,246.04,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForLegacyCode,React,OpenAi_o3_pro_0610,ReactSignUp,high,low,1,1472,1728,4098,305.79,4.0,3.5,4.0,4.0,4.0,3.0
code_generation,test_generation,WriteTestsForLegacyCode,React,OpenAi_o3_pro_0610,ToDoApp_ReactJS,high,avg,1,3525,3648,6586,274.74,4.0,2.36,4.0,2.04,4.0,2.68
code_generation,test_generation,WriteTestsForLegacyCode,Angular,OpenAi_o3_pro_0610,AngularCosmoPage,avg,high,1,5662,1792,5095,377.91,4.0,4.0,4.0,4.0,4.0,4.0
code_generation,test_generation,WriteTestsForActualCode,React,OpenAi_o3_pro_0610,ReactSelect,extra_high,high,1,16066,512,3165,184.67,3.88,2.68,3.82,2.38,3.95,2.99
code_generation,solution_template_generation,GenerateProjectConfiguration,none,OpenAi_o3_pro_0610,none,none,none,1,275,2432,4299,244.11,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,OpenAi_o3_pro_0610,ReactSignUp,high,low,1,1436,1088,3600,275.31,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,OpenAi_o3_pro_0610,ToDoApp_ReactJS,high,avg,1,3478,704,2801,204.22,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,Angular,OpenAi_o3_pro_0610,AngularCosmoPage,avg,high,1,5628,2240,4192,205.68,4.0,2.46,4.0,2.92,4.0,2.0
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,OpenAi_o3_pro_0610,AngularCosmoPage,avg,high,1,5580,704,3454,244.41,3.52,3.5,4.0,4.0,3.05,3.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,OpenAi_o3_pro_0610,ReactSignUp,high,low,1,1417,256,1768,245.3,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,OpenAi_o3_pro_0610,ToDoApp_ReactJS,high,avg,1,3440,576,2188,213.68,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,React,OpenAi_o3_pro_0610,ReactSignUp,high,low,1,1394,896,2849,209.05,3.5,3.54,3.99,4.0,3.0,3.08
code_documentation,solution_documentation,BusinessFunctionality,React,OpenAi_o3_pro_0610,ToDoApp_ReactJS,high,avg,1,3401,192,1950,210.91,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,solution_documentation,BusinessFunctionality,Angular,OpenAi_o3_pro_0610,AngularCosmoPage,avg,high,1,5578,320,1922,244.11,4.0,3.09,4.0,3.18,4.0,3.0
