Experiment,Type,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness,Accuracy_claude-3-7-sonnet@20250219,Completeness_claude-3-7-sonnet@20250219,Accuracy_o3-mini,Completeness_o3-mini
code_translation,solution_migration,ReactToAngular,React,Phi_4,ToDoApp_ReactJS,high,avg,1,3423,0,2270,28.01,2.0,2.97,2.0,3.94,2.0,2.0
code_translation,solution_migration,jQueryToReact,jQuery,Phi_4,ToDoApp_jQuery,high,low,1,2528,0,2074,25.27,2.0,1.64,2.0,1.85,2.0,1.44
code_translation,solution_migration,AngularToReact,Angular,Phi_4,AngularCosmoPage,avg,high,1,5694,0,1633,20.72,3.98,0.5,4.0,0.99,3.96,0.0
code_translation,solution_migration,UpdateReact,React,Phi_4,ToDoApp_ReactJS,high,avg,1,3406,0,1420,17.6,2.28,0.34,2.12,0.0,2.44,0.68
code_translation,solution_migration,UpdateAngular,Angular,Phi_4,ToDoApp_AngularJS,avg,avg_2,1,2483,0,1081,13.32,3.28,1.3,3.82,1.78,2.73,0.82
code_translation,solution_migration,ReactToAngular,React,Phi_4,ReactSignUp,high,low,1,1434,0,1880,22.69,3.48,2.0,3.95,2.0,3.01,2.0
code_translation,solution_migration,VanillaToReact,NativeJS,Phi_4,Piano_NativeJS,high,low,1,1615,0,1758,21.34,2.49,2.98,2.97,2.96,2.0,3.0
code_generation,component_generation,GenerateReactApp,none,Phi_4,none,none,none,1,297,0,940,12.02,3.5,3.92,3.0,4.0,4.0,3.85
code_generation,component_generation,ModifyReactApp,React,Phi_4,ReactFetchAPI,avg,low,1,558,0,775,9.48,4.0,3.54,4.0,3.9,4.0,3.18
code_generation,component_generation,GenerateBaseComponent,none,Phi_4,none,none,none,1,287,0,1397,16.87,4.0,3.14,4.0,3.27,4.0,3.01
code_generation,component_generation,GenerateReactApp,none,Phi_4,none,none,none,1,297,0,940,11.46,3.12,3.5,3.01,4.0,3.22,3.0
code_generation,test_generation,WriteTestsForLegacyCode,React,Phi_4,ReactSignUp,high,low,1,1424,0,1123,13.74,2.13,2.13,2.27,2.27,2.0,2.0
code_generation,test_generation,WriteTestsForLegacyCode,React,Phi_4,ToDoApp_ReactJS,high,avg,1,3418,0,1052,13.26,3.49,0.51,3.98,0.99,3.0,0.03
code_generation,test_generation,WriteTestsForLegacyCode,Angular,Phi_4,AngularCosmoPage,avg,high,1,5578,0,1286,16.46,3.02,0.08,3.0,0.03,3.05,0.12
code_generation,test_generation,WriteTestsForActualCode,React,Phi_4,ReactSelect,extra_high,high,1,15722,0,662,10.03,2.58,0.0,1.98,0.0,3.18,0.0
code_generation,solution_template_generation,GenerateProjectConfiguration,none,Phi_4,none,none,none,1,274,0,1166,14.1,2.55,4.0,1.1,4.0,4.0,4.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Phi_4,ReactSignUp,high,low,1,1393,0,1199,14.64,4.0,3.5,4.0,4.0,4.0,3.0
code_documentation,code_analysis,EvaluateCodeQuality,React,Phi_4,ToDoApp_ReactJS,high,avg,1,3379,0,1521,18.91,2.51,1.7,3.0,2.03,2.03,1.38
code_documentation,code_analysis,EvaluateCodeQuality,Angular,Phi_4,AngularCosmoPage,avg,high,1,5554,0,1117,14.43,4.0,1.4,4.0,0.82,4.0,1.98
code_documentation,code_explanation,DescribeTechnicalImplementation,Angular,Phi_4,AngularCosmoPage,avg,high,1,5497,0,1760,22.16,1.32,1.0,1.27,1.0,1.38,1.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Phi_4,ReactSignUp,high,low,1,1369,0,891,10.98,4.0,4.0,4.0,4.0,4.0,4.0
code_documentation,code_explanation,DescribeTechnicalImplementation,React,Phi_4,ToDoApp_ReactJS,high,avg,1,3334,0,765,9.83,4.0,2.86,4.0,2.78,4.0,2.95
code_documentation,solution_documentation,BusinessFunctionality,React,Phi_4,ReactSignUp,high,low,1,1347,0,1100,13.44,1.99,1.75,2.01,2.0,1.97,1.5
code_documentation,solution_documentation,BusinessFunctionality,React,Phi_4,ToDoApp_ReactJS,high,avg,1,3299,0,1233,15.44,3.81,3.57,4.0,3.22,3.62,3.92
code_documentation,solution_documentation,BusinessFunctionality,Angular,Phi_4,AngularCosmoPage,avg,high,1,5499,0,1170,14.99,4.0,2.57,4.0,3.15,3.99,1.99
