Experiment,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness
code_analysis,EvaluateCodeQuality,React,Claude_Haiku_35,ReactSignUp,high,low,1,1666,0,1196,17.82008123397827,3.02,4.0
code_analysis,EvaluateCodeQuality,React,Claude_Haiku_35,ToDoApp_ReactJS,high,avg,1,4148,0,1284,21.801138162612915,4.0,4.0
code_analysis,EvaluateCodeQuality,Angular,Claude_Haiku_35,AngularCosmoPage,avg,high,1,6878,0,1352,20.94816017150879,4.0,4.0
code_explanation,DescribeTechnicalImplementation,Angular,Claude_Haiku_35,AngularCosmoPage,avg,high,1,6806,0,906,15.772170066833496,4.0,2.44
code_explanation,DescribeTechnicalImplementation,React,Claude_Haiku_35,ReactSignUp,high,low,1,1594,0,768,13.201422929763794,4.0,1.94
code_explanation,DescribeTechnicalImplementation,React,Claude_Haiku_35,ToDoApp_ReactJS,high,avg,1,4076,0,994,14.623330116271973,4.0,4.0
component_generation,ModifyReactApp,React,Claude_Haiku_35,ReactFetchAPI,avg,low,1,449,0,815,13.320903062820436,4.0,4.0
component_generation,GenerateBaseComponent,none,Claude_Haiku_35,none,none,none,1,215,0,1492,21.973529815673828,4.0,4.0
component_generation,GenerateReactApp,none,Claude_Haiku_35,none,none,none,1,204,0,1175,18.83855891227722,4.0,4.0
solution_documentation,BusinessFunctionality,React,Claude_Haiku_35,ReactSignUp,high,low,1,1521,0,414,7.167779922485352,3.0,3.98
solution_documentation,BusinessFunctionality,React,Claude_Haiku_35,ToDoApp_ReactJS,high,avg,1,4003,0,366,6.755857944488525,3.0,3.15
solution_documentation,BusinessFunctionality,Angular,Claude_Haiku_35,AngularCosmoPage,avg,high,1,6733,0,467,8.666881084442139,4.0,4.0
solution_migration,ReactToAngular,React,Claude_Haiku_35,ToDoApp_ReactJS,high,avg,1,4057,0,2859,40.8517119884491,3.62,4.0
solution_migration,jQueryToReact,jQuery,Claude_Haiku_35,ToDoApp_jQuery,high,low,1,2929,0,3247,46.899126052856445,4.0,4.0
solution_migration,AngularToReact,Angular,Claude_Haiku_35,AngularCosmoPage,avg,high,1,6767,0,1405,19.890888929367065,4.0,3.0
solution_migration,UpdateReact,React,Claude_Haiku_35,ToDoApp_ReactJS,high,avg,1,4047,0,2753,37.70362901687622,4.0,4.0
solution_migration,UpdateAngular,Angular,Claude_Haiku_35,ToDoApp_AngularJS,avg,avg_2,1,2794,0,2742,40.81163787841797,3.18,2.85
solution_migration,ReactToAngular,React,Claude_Haiku_35,ReactSignUp,high,low,1,1575,0,1644,24.396053075790405,2.08,3.0
solution_migration,VanillaToReact,NativeJS,Claude_Haiku_35,Piano_NativeJS,high,low,1,1674,0,1989,29.63407516479492,4.0,4.0
solution_template_generation,GenerateProjectConfiguration,none,Claude_Haiku_35,none,none,none,1,140,0,1972,30.271748781204224,,
test_generation,WriteTestsForLegacyCode,React,Claude_Haiku_35,ReactSignUp,high,low,1,1527,0,1798,28.27628183364868,4.0,3.04
test_generation,WriteTestsForLegacyCode,React,Claude_Haiku_35,ToDoApp_ReactJS,high,avg,1,4009,0,2337,36.49953889846802,4.0,3.44
test_generation,WriteTestsForLegacyCode,Angular,Claude_Haiku_35,AngularCosmoPage,avg,high,1,6739,0,1643,25.830262899398804,1.93,1.94
test_generation,WriteTestsForActualCode,React,Claude_Haiku_35,ReactSelect,extra_high,high,1,20232,0,1571,23.90188407897949,4.0,3.0
