metric,score,weighted_score,is_confident,score_5,scenario_id,scenario_name,category,score_4,score_3,repository,score_2,score_1
accuracy,5,5.0,True,1.0,1,generate_base_component,component_generation,,,,,
completeness,4,4.01,True,0.01,1,generate_base_component,component_generation,0.99,,,,
accuracy,5,5.0,True,1.0,2,generate_react_app,component_generation,,,,,
completeness,5,5.0,True,1.0,2,generate_react_app,component_generation,,,,,
accuracy,5,5.0,True,1.0,3,modify_react_app,component_generation,,,,,
completeness,5,5.0,True,1.0,3,modify_react_app,component_generation,,,,,
accuracy,4,3.68,False,,4,write_tests_for_legacy_code,test_generation,0.68,0.32,angular_cosmo_page,,
completeness,2,1.84,False,,4,write_tests_for_legacy_code,test_generation,,,angular_cosmo_page,0.84,0.16
accuracy,5,5.0,True,1.0,5,write_tests_for_legacy_code,test_generation,,,todo_app_react,,
completeness,5,5.0,True,1.0,5,write_tests_for_legacy_code,test_generation,,,todo_app_react,,
accuracy,4,4.0,True,,6,write_tests_for_legacy_code,test_generation,1.0,,react_sign_up,,
completeness,4,3.97,True,,6,write_tests_for_legacy_code,test_generation,0.97,0.03,react_sign_up,,
accuracy,5,5.0,True,1.0,7,angular_to_react,solution_migration,,,angular_cosmo_page,,
completeness,5,5.0,True,1.0,7,angular_to_react,solution_migration,,,angular_cosmo_page,,
accuracy,5,5.0,True,1.0,08,react_to_angular,solution_migration,,,todo_app_react,,
completeness,5,5.0,True,1.0,08,react_to_angular,solution_migration,,,todo_app_react,,
accuracy,4,4.44,False,0.44,09,react_to_angular,solution_migration,0.56,,react_sign_up,,
completeness,4,4.01,True,0.01,09,react_to_angular,solution_migration,0.99,,react_sign_up,,
accuracy,5,5.0,True,1.0,10,update_angular,solution_migration,,,todo_app_angular,,
completeness,5,5.0,True,1.0,10,update_angular,solution_migration,,,todo_app_angular,,
accuracy,5,5.0,True,1.0,11,update_react,solution_migration,,,todo_app_react,,
completeness,5,5.0,True,1.0,11,update_react,solution_migration,,,todo_app_react,,
accuracy,5,5.0,True,1.0,12,vanilla_to_react,solution_migration,,,piano_native_js,,
completeness,5,5.0,True,1.0,12,vanilla_to_react,solution_migration,,,piano_native_js,,
accuracy,5,5.0,True,1.0,13,jquery_to_react,solution_migration,,,todo_app_jquery,,
completeness,5,5.0,True,1.0,13,jquery_to_react,solution_migration,,,todo_app_jquery,,
accuracy,5,5.0,True,1.0,14,business_functionality,solution_documentation,,,angular_cosmo_page,,
completeness,5,5.0,True,1.0,14,business_functionality,solution_documentation,,,angular_cosmo_page,,
accuracy,4,4.18,False,0.18,15,business_functionality,solution_documentation,0.82,,todo_app_react,,
completeness,5,5.0,True,1.0,15,business_functionality,solution_documentation,,,todo_app_react,,
accuracy,5,5.0,True,1.0,16,business_functionality,solution_documentation,,,react_sign_up,,
completeness,5,5.0,True,1.0,16,business_functionality,solution_documentation,,,react_sign_up,,
accuracy,5,5.0,True,1.0,17,describe_technical_implementation,code_explanation,,,angular_cosmo_page,,
completeness,5,5.0,True,1.0,17,describe_technical_implementation,code_explanation,,,angular_cosmo_page,,
accuracy,5,5.0,True,1.0,18,describe_technical_implementation,code_explanation,,,todo_app_react,,
completeness,5,5.0,True,1.0,18,describe_technical_implementation,code_explanation,,,todo_app_react,,
accuracy,5,5.0,True,1.0,19,describe_technical_implementation,code_explanation,,,react_sign_up,,
completeness,3,2.95,True,,19,describe_technical_implementation,code_explanation,,0.95,react_sign_up,0.05,
accuracy,3,2.99,True,,20,evaluate_code_quality,code_analysis,,0.99,angular_cosmo_page,0.01,
completeness,2,2.05,True,,20,evaluate_code_quality,code_analysis,,0.05,angular_cosmo_page,0.95,
accuracy,5,5.0,True,1.0,21,evaluate_code_quality,code_analysis,,,todo_app_react,,
completeness,4,4.04,True,0.05,21,evaluate_code_quality,code_analysis,0.94,0.01,todo_app_react,,
accuracy,4,4.0,True,,22,evaluate_code_quality,code_analysis,1.0,,react_sign_up,,
completeness,5,5.0,True,1.0,22,evaluate_code_quality,code_analysis,,,react_sign_up,,
accuracy,3,3.38,False,,23,write_tests_for_actual_code,test_generation,0.38,0.62,react_select,,
completeness,4,4.0,True,,23,write_tests_for_actual_code,test_generation,1.0,,react_select,,
