Experiment,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness
code_analysis,EvaluateCodeQuality,React,Claude_Sonnet_35v2,ReactSignUp,high,low,1,1666,0,1305,23.850982904434204,3.05,3.22
code_analysis,EvaluateCodeQuality,React,Claude_Sonnet_35v2,ToDoApp_ReactJS,high,avg,1,4148,0,1479,25.55544400215149,2.99,2.96
code_analysis,EvaluateCodeQuality,Angular,Claude_Sonnet_35v2,AngularCosmoPage,avg,high,1,6878,0,1153,19.45528507232666,4.0,4.0
code_explanation,DescribeTechnicalImplementation,Angular,Claude_Sonnet_35v2,AngularCosmoPage,avg,high,1,6806,0,1116,19.53483390808105,4.0,2.94
code_explanation,DescribeTechnicalImplementation,React,Claude_Sonnet_35v2,ReactSignUp,high,low,1,1594,0,808,14.522280931472778,4.0,3.03
code_explanation,DescribeTechnicalImplementation,React,Claude_Sonnet_35v2,ToDoApp_ReactJS,high,avg,1,4076,0,979,16.305596828460693,4.0,3.03
component_generation,ModifyReactApp,React,Claude_Sonnet_35v2,ReactFetchAPI,avg,low,1,449,0,746,17.56039309501648,4.0,4.0
component_generation,GenerateBaseComponent,none,Claude_Sonnet_35v2,none,none,none,1,215,0,1690,29.63225221633911,4.0,4.0
component_generation,GenerateReactApp,none,Claude_Sonnet_35v2,none,none,none,1,204,0,1215,19.040287017822266,4.0,3.0
solution_documentation,BusinessFunctionality,React,Claude_Sonnet_35v2,ReactSignUp,high,low,1,1521,0,570,10.750647068023682,4.0,4.0
solution_documentation,BusinessFunctionality,React,Claude_Sonnet_35v2,ToDoApp_ReactJS,high,avg,1,4003,0,715,14.14509105682373,3.03,4.0
solution_documentation,BusinessFunctionality,Angular,Claude_Sonnet_35v2,AngularCosmoPage,avg,high,1,6733,0,538,10.63875937461853,4.0,4.0
solution_migration,ReactToAngular,React,Claude_Sonnet_35v2,ToDoApp_ReactJS,high,avg,1,4057,0,3305,55.40716195106506,3.85,4.0
solution_migration,jQueryToReact,jQuery,Claude_Sonnet_35v2,ToDoApp_jQuery,high,low,1,2929,0,3098,47.4599449634552,4.0,4.0
solution_migration,AngularToReact,Angular,Claude_Sonnet_35v2,AngularCosmoPage,avg,high,1,6767,0,2499,44.06233716011048,4.0,3.0
solution_migration,UpdateReact,React,Claude_Sonnet_35v2,ToDoApp_ReactJS,high,avg,1,4047,0,3179,46.48034715652466,4.0,4.0
solution_migration,UpdateAngular,Angular,Claude_Sonnet_35v2,ToDoApp_AngularJS,avg,avg_2,1,2794,0,3931,66.7068932056427,4.0,4.0
solution_migration,ReactToAngular,React,Claude_Sonnet_35v2,ReactSignUp,high,low,1,1575,0,1671,28.08357810974121,3.89,3.0
solution_migration,VanillaToReact,NativeJS,Claude_Sonnet_35v2,Piano_NativeJS,high,low,1,1674,0,1851,29.390011072158813,4.0,4.0
solution_template_generation,GenerateProjectConfiguration,none,Claude_Sonnet_35v2,none,none,none,1,140,0,1223,20.10128426551819,,
test_generation,WriteTestsForLegacyCode,React,Claude_Sonnet_35v2,ReactSignUp,high,low,1,1527,0,1594,28.019593954086304,4.0,2.98
test_generation,WriteTestsForLegacyCode,React,Claude_Sonnet_35v2,ToDoApp_ReactJS,high,avg,1,4009,0,2302,34.13372087478638,4.0,3.16
test_generation,WriteTestsForLegacyCode,Angular,Claude_Sonnet_35v2,AngularCosmoPage,avg,high,1,6739,0,2227,36.94439101219177,2.98,2.56
test_generation,WriteTestsForActualCode,React,Claude_Sonnet_35v2,ReactSelect,extra_high,high,1,20232,0,1681,29.03855013847351,2.87,1.02
