Experiment,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness
code_analysis,EvaluateCodeQuality,React,Claude_Sonnet_37,ReactSignUp,high,low,1,1666,0,3092,40.92154693603516,3.18,3.27
code_analysis,EvaluateCodeQuality,React,Claude_Sonnet_37,ToDoApp_ReactJS,high,avg,1,4148,0,3493,47.21781516075134,4.0,3.32
code_analysis,EvaluateCodeQuality,Angular,Claude_Sonnet_37,AngularCosmoPage,avg,high,1,6878,0,6170,83.75812292098999,4.0,4.0
code_explanation,DescribeTechnicalImplementation,Angular,Claude_Sonnet_37,AngularCosmoPage,avg,high,1,6806,0,1655,26.895896911621094,4.0,2.41
code_explanation,DescribeTechnicalImplementation,React,Claude_Sonnet_37,ReactSignUp,high,low,1,1594,0,1004,18.130844831466675,4.0,2.44
code_explanation,DescribeTechnicalImplementation,React,Claude_Sonnet_37,ToDoApp_ReactJS,high,avg,1,4076,0,1775,27.307661056518555,4.0,4.0
component_generation,ModifyReactApp,React,Claude_Sonnet_37,ReactFetchAPI,avg,low,1,449,0,654,8.691865921020508,4.0,4.0
component_generation,GenerateBaseComponent,none,Claude_Sonnet_37,none,none,none,1,215,0,2605,30.62668514251709,4.0,4.0
component_generation,GenerateReactApp,none,Claude_Sonnet_37,none,none,none,1,204,0,1656,19.360023975372314,4.0,2.02
solution_documentation,BusinessFunctionality,React,Claude_Sonnet_37,ReactSignUp,high,low,1,1521,0,845,16.038334131240845,4.0,4.0
solution_documentation,BusinessFunctionality,React,Claude_Sonnet_37,ToDoApp_ReactJS,high,avg,1,4003,0,900,17.01940608024597,3.01,4.0
solution_documentation,BusinessFunctionality,Angular,Claude_Sonnet_37,AngularCosmoPage,avg,high,1,6733,0,955,18.527731895446777,4.0,4.0
solution_migration,ReactToAngular,React,Claude_Sonnet_37,ToDoApp_ReactJS,high,avg,1,4057,0,5097,56.33933186531067,4.0,4.0
solution_migration,jQueryToReact,jQuery,Claude_Sonnet_37,ToDoApp_jQuery,high,low,1,2929,0,4059,44.23838186264038,4.0,4.0
solution_migration,AngularToReact,Angular,Claude_Sonnet_37,AngularCosmoPage,avg,high,1,6767,0,8192,94.25644493103027,4.0,4.0
solution_migration,UpdateReact,React,Claude_Sonnet_37,ToDoApp_ReactJS,high,avg,1,4047,0,7680,80.50680494308472,4.0,4.0
solution_migration,UpdateAngular,Angular,Claude_Sonnet_37,ToDoApp_AngularJS,avg,avg_2,1,2794,0,5627,60.54629111289978,4.0,4.0
solution_migration,ReactToAngular,React,Claude_Sonnet_37,ReactSignUp,high,low,1,1575,0,2515,29.196946144104004,4.0,3.05
solution_migration,VanillaToReact,NativeJS,Claude_Sonnet_37,Piano_NativeJS,high,low,1,1674,0,2410,31.184198141098022,4.0,4.0
solution_template_generation,GenerateProjectConfiguration,none,Claude_Sonnet_37,none,none,none,1,140,0,1531,19.306771278381348,,
test_generation,WriteTestsForLegacyCode,React,Claude_Sonnet_37,ReactSignUp,high,low,1,1527,0,3299,38.80339002609253,4.0,3.78
test_generation,WriteTestsForLegacyCode,React,Claude_Sonnet_37,ToDoApp_ReactJS,high,avg,1,4009,0,6540,72.67478108406067,4.0,4.0
test_generation,WriteTestsForLegacyCode,Angular,Claude_Sonnet_37,AngularCosmoPage,avg,high,1,6739,0,7476,87.16581082344055,1.98,4.0
test_generation,WriteTestsForActualCode,React,Claude_Sonnet_37,ReactSelect,extra_high,high,1,20232,0,3902,48.738436222076416,4.0,4.0
