metric,score,weighted_score,is_confident,score_4,category,experiment,repository,scenario_id,score_3,score_5,score_2
accuracy,4,3.96,True,0.99,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,,,
completeness,3,3.18,False,0.18,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,0.82,,
accuracy,5,5.0,True,,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,,1.0,
completeness,4,4.27,False,0.73,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,,0.27,
accuracy,3,3.01,True,0.01,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,0.99,,
completeness,5,5.0,True,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,,1.0,
accuracy,5,5.0,True,,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,,1.0,
completeness,4,3.68,False,0.72,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,0.26,,0.01
accuracy,5,5.0,True,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,,1.0,
completeness,5,5.0,True,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,,1.0,
accuracy,5,5.0,True,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,,1.0,
completeness,5,5.0,True,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,,1.0,
accuracy,5,5.0,True,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,,1.0,
completeness,5,5.0,True,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,,1.0,
accuracy,5,5.0,True,,GenerateBaseComponent,component_generation,,1,,1.0,
completeness,5,5.0,True,,GenerateBaseComponent,component_generation,,1,,1.0,
accuracy,5,5.0,True,,GenerateReactApp,component_generation,,2,,1.0,
completeness,4,4.02,True,0.98,GenerateReactApp,component_generation,,2,,0.02,
accuracy,5,5.0,True,,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,,1.0,
completeness,5,5.0,True,,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,,1.0,
accuracy,4,4.5,False,0.5,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,,0.5,
completeness,5,5.0,True,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,,1.0,
accuracy,5,5.0,True,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,,1.0,
completeness,4,4.01,True,0.97,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,0.01,0.02,
accuracy,5,5.0,True,,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,,1.0,
completeness,5,5.0,True,,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,,1.0,
accuracy,5,5.0,True,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,,1.0,
completeness,5,5.0,True,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,,1.0,
accuracy,5,5.0,True,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,,1.0,
completeness,5,5.0,True,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,,1.0,
accuracy,5,5.0,True,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,,1.0,
completeness,5,5.0,True,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,,1.0,
accuracy,5,5.0,True,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,,1.0,
completeness,5,5.0,True,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,,1.0,
accuracy,3,3.12,False,0.12,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,0.88,,
completeness,4,4.0,True,1.0,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,,,
accuracy,5,5.0,True,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,,1.0,
completeness,5,5.0,True,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,,1.0,
accuracy,5,5.0,True,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,,1.0,
completeness,4,4.32,False,0.68,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,,0.32,
accuracy,5,5.0,True,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,,1.0,
completeness,5,5.0,True,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,,1.0,
accuracy,5,4.56,False,0.44,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,,0.56,
completeness,5,5.0,True,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,,1.0,
accuracy,5,5.0,True,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,,1.0,
completeness,4,3.78,False,0.78,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,0.22,,
