metric,score,weighted_score,is_confident,score_5,category,experiment,repository,scenario_id,score_4,score_3,score_2
accuracy,5,5.0,True,1.0,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,,,
completeness,4,3.99,True,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,0.99,0.01,
accuracy,4,4.0,True,,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,1.0,,
completeness,5,5.0,True,1.0,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,,,
accuracy,3,3.07,True,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,0.05,0.95,0.01
completeness,5,5.0,True,1.0,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,,,
accuracy,5,5.0,True,1.0,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,,,
completeness,3,2.99,True,,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,,0.99,0.01
accuracy,5,5.0,True,1.0,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,,,
completeness,4,3.78,False,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,0.81,0.18,
accuracy,5,5.0,True,1.0,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,,,
completeness,5,5.0,True,1.0,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,,,
accuracy,5,5.0,True,1.0,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,,,
completeness,5,5.0,True,1.0,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,,,
accuracy,5,5.0,True,1.0,GenerateBaseComponent,component_generation,,1,,,
completeness,5,5.0,True,1.0,GenerateBaseComponent,component_generation,,1,,,
accuracy,4,3.98,True,,GenerateReactApp,component_generation,,2,0.98,0.02,
completeness,5,5.0,True,1.0,GenerateReactApp,component_generation,,2,,,
accuracy,5,5.0,True,1.0,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,,,
completeness,5,5.0,True,1.0,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,,,
accuracy,5,5.0,True,1.0,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,,,
completeness,5,5.0,True,1.0,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,,,
accuracy,5,5.0,True,1.0,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,,,
completeness,5,5.0,True,1.0,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,,,
accuracy,5,5.0,True,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,,,
completeness,5,5.0,True,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,,,
accuracy,5,5.0,True,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,,,
completeness,5,5.0,True,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,,,
accuracy,5,5.0,True,1.0,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,,,
completeness,4,4.0,True,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,1.0,,
accuracy,5,5.0,True,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,,,
completeness,5,5.0,True,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,,,
accuracy,4,4.15,False,0.15,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,0.85,,
completeness,5,5.0,True,1.0,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,,,
accuracy,3,3.1,False,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,0.1,0.9,
completeness,4,4.0,True,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,1.0,,
accuracy,5,5.0,True,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,,,
completeness,5,5.0,True,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,,,
accuracy,5,5.0,True,1.0,GenerateProjectConfiguration,solution_template_generation,,24,,,
completeness,5,5.0,True,1.0,GenerateProjectConfiguration,solution_template_generation,,24,,,
accuracy,4,4.03,True,0.03,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,0.97,,
completeness,5,4.94,True,0.94,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,0.06,,
accuracy,5,5.0,True,1.0,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,,,
