Experiment,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness
code_analysis,EvaluateCodeQuality,React,DeepSeekR1,ReactSignUp,high,low,1,1358,0,1854,23.628368854522705,4.0,2.99
code_analysis,EvaluateCodeQuality,React,DeepSeekR1,ToDoApp_ReactJS,high,avg,1,3428,0,4517,69.57612609863281,3.0,4.0
code_analysis,EvaluateCodeQuality,Angular,DeepSeekR1,AngularCosmoPage,avg,high,1,5721,0,2013,30.56115198135376,4.0,4.0
code_explanation,DescribeTechnicalImplementation,Angular,DeepSeekR1,AngularCosmoPage,avg,high,1,5674,0,1495,22.176426649093628,4.0,1.99
code_explanation,DescribeTechnicalImplementation,React,DeepSeekR1,ReactSignUp,high,low,1,1311,0,1580,52.79176497459412,4.0,2.78
code_explanation,DescribeTechnicalImplementation,React,DeepSeekR1,ToDoApp_ReactJS,high,avg,1,3381,0,2142,58.05760622024536,4.0,4.0
component_generation,ModifyReactApp,React,DeepSeekR1,ReactFetchAPI,avg,low,1,376,0,3878,90.88324308395386,4.0,4.0
component_generation,GenerateBaseComponent,none,DeepSeekR1,none,none,none,1,192,0,1787,50.094902992248535,4.0,4.0
component_generation,GenerateReactApp,none,DeepSeekR1,none,none,none,1,183,0,1375,26.859522104263306,2.98,4.0
solution_documentation,BusinessFunctionality,React,DeepSeekR1,ReactSignUp,high,low,1,1232,0,1271,17.419673681259155,4.0,4.0
solution_documentation,BusinessFunctionality,React,DeepSeekR1,ToDoApp_ReactJS,high,avg,1,3302,0,1511,24.881881713867188,4.0,4.0
solution_documentation,BusinessFunctionality,Angular,DeepSeekR1,AngularCosmoPage,avg,high,1,5595,0,1060,17.458293676376343,4.0,4.0
solution_migration,ReactToAngular,React,DeepSeekR1,ToDoApp_ReactJS,high,avg,1,3355,0,4037,86.06803798675537,4.0,4.0
solution_migration,jQueryToReact,jQuery,DeepSeekR1,ToDoApp_jQuery,high,low,1,2423,0,3663,74.24575996398926,4.0,4.0
solution_migration,AngularToReact,Angular,DeepSeekR1,AngularCosmoPage,avg,high,1,5630,0,3142,50.12481689453125,4.0,3.0
solution_migration,UpdateReact,React,DeepSeekR1,ToDoApp_ReactJS,high,avg,1,3345,0,6549,100.00379705429076,4.0,4.0
solution_migration,UpdateAngular,Angular,DeepSeekR1,ToDoApp_AngularJS,avg,avg_2,1,2416,0,2975,54.46803998947144,3.15,4.0
solution_migration,ReactToAngular,React,DeepSeekR1,ReactSignUp,high,low,1,1285,0,2465,31.983498096466064,3.0,3.0
solution_migration,VanillaToReact,NativeJS,DeepSeekR1,Piano_NativeJS,high,low,1,1423,0,7295,143.28365397453308,4.0,4.0
solution_template_generation,GenerateProjectConfiguration,none,DeepSeekR1,none,none,none,1,125,0,1758,25.936792850494385,4.0,4.0
test_generation,WriteTestsForLegacyCode,React,DeepSeekR1,ReactSignUp,high,low,1,1242,0,7182,109.47511887550354,4.0,3.94
test_generation,WriteTestsForLegacyCode,React,DeepSeekR1,ToDoApp_ReactJS,high,avg,1,3312,0,3651,90.93164086341858,4.0,2.33
test_generation,WriteTestsForLegacyCode,Angular,DeepSeekR1,AngularCosmoPage,avg,high,1,5605,0,2817,80.65044093132019,1.86,3.0
test_generation,WriteTestsForActualCode,React,DeepSeekR1,ReactSelect,extra_high,high,1,16276,0,2641,75.77174615859985,4.0,4.0
