Experiment,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness
code_analysis,EvaluateCodeQuality,React,GPT45_0227,ReactSignUp,high,low,1,1347,0,1629,53.30077862739563,4.0,2.99
code_analysis,EvaluateCodeQuality,React,GPT45_0227,ToDoApp_ReactJS,high,avg,1,3343,0,1647,73.24383902549744,4.0,4.0
code_analysis,EvaluateCodeQuality,Angular,GPT45_0227,AngularCosmoPage,avg,high,1,5506,0,1539,72.65373396873474,4.0,4.0
code_explanation,DescribeTechnicalImplementation,Angular,GPT45_0227,AngularCosmoPage,avg,high,1,5460,0,1399,80.28929424285889,4.0,1.91
code_explanation,DescribeTechnicalImplementation,React,GPT45_0227,ReactSignUp,high,low,1,1301,0,890,58.90771675109863,4.0,3.88
code_explanation,DescribeTechnicalImplementation,React,GPT45_0227,ToDoApp_ReactJS,high,avg,1,3297,0,1160,53.58155584335327,4.0,4.0
component_generation,ModifyReactApp,React,GPT45_0227,ReactFetchAPI,avg,low,1,379,0,338,8.467329978942871,4.0,4.0
component_generation,GenerateBaseComponent,none,GPT45_0227,none,none,none,1,199,0,1197,38.85068225860596,4.0,4.0
component_generation,GenerateReactApp,none,GPT45_0227,none,none,none,1,188,0,438,15.679883003234863,3.12,3.0
solution_documentation,BusinessFunctionality,React,GPT45_0227,ReactSignUp,high,low,1,1223,0,833,52.12545800209045,3.17,4.0
solution_documentation,BusinessFunctionality,React,GPT45_0227,ToDoApp_ReactJS,high,avg,1,3219,0,871,55.5580689907074,4.0,4.0
solution_documentation,BusinessFunctionality,Angular,GPT45_0227,AngularCosmoPage,avg,high,1,5382,0,1105,78.38984489440918,4.0,4.0
solution_migration,ReactToAngular,React,GPT45_0227,ToDoApp_ReactJS,high,avg,1,3269,0,1841,46.03243088722229,4.0,3.02
solution_migration,jQueryToReact,jQuery,GPT45_0227,ToDoApp_jQuery,high,low,1,2343,0,2001,55.811973094940186,4.0,4.0
solution_migration,AngularToReact,Angular,GPT45_0227,AngularCosmoPage,avg,high,1,5413,0,1789,51.63025212287903,4.0,3.01
solution_migration,UpdateReact,React,GPT45_0227,ToDoApp_ReactJS,high,avg,1,3258,0,1894,48.3251268863678,4.0,1.97
solution_migration,UpdateAngular,Angular,GPT45_0227,ToDoApp_AngularJS,avg,avg_2,1,2275,0,1836,53.235111236572266,3.0,2.98
solution_migration,ReactToAngular,React,GPT45_0227,ReactSignUp,high,low,1,1273,0,1743,53.82880997657776,3.32,3.0
solution_migration,VanillaToReact,NativeJS,GPT45_0227,Piano_NativeJS,high,low,1,1402,0,1844,44.228078842163086,4.0,4.0
solution_template_generation,GenerateProjectConfiguration,none,GPT45_0227,none,none,none,1,132,0,1810,61.97832012176514,,
test_generation,WriteTestsForLegacyCode,React,GPT45_0227,ReactSignUp,high,low,1,1230,0,1693,47.68059182167053,3.16,3.62
test_generation,WriteTestsForLegacyCode,React,GPT45_0227,ToDoApp_ReactJS,high,avg,1,3226,0,1808,51.40081787109375,4.0,3.15
test_generation,WriteTestsForLegacyCode,Angular,GPT45_0227,AngularCosmoPage,avg,high,1,5389,0,1452,50.329819202423096,1.99,0.92
test_generation,WriteTestsForActualCode,React,GPT45_0227,ReactSelect,extra_high,high,1,15764,0,1511,46.548789978027344,4.0,2.45
