Experiment,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness
code_analysis,EvaluateCodeQuality,React,GPT4o_0806,ReactSignUp,high,low,1,1347,0,1067,11.08181095123291,4.0,2.99
code_analysis,EvaluateCodeQuality,React,GPT4o_0806,ToDoApp_ReactJS,high,avg,1,3343,0,1197,12.188291788101196,2.85,3.04
code_analysis,EvaluateCodeQuality,Angular,GPT4o_0806,AngularCosmoPage,avg,high,1,5506,0,896,235.7214069366455,0.0,0.0
code_explanation,DescribeTechnicalImplementation,Angular,GPT4o_0806,AngularCosmoPage,avg,high,1,5460,0,1252,21.45518898963928,4.0,4.0
code_explanation,DescribeTechnicalImplementation,React,GPT4o_0806,ReactSignUp,high,low,1,1301,0,685,8.89987587928772,4.0,2.32
code_explanation,DescribeTechnicalImplementation,React,GPT4o_0806,ToDoApp_ReactJS,high,avg,1,3297,0,750,10.650874137878418,4.0,4.0
component_generation,ModifyReactApp,React,GPT4o_0806,ReactFetchAPI,avg,low,1,379,0,530,6.858362913131714,4.0,4.0
component_generation,GenerateBaseComponent,none,GPT4o_0806,none,none,none,1,199,0,1117,24.043680906295776,4.0,4.0
component_generation,GenerateReactApp,none,GPT4o_0806,none,none,none,1,188,0,619,15.045447826385498,3.15,3.99
solution_documentation,BusinessFunctionality,React,GPT4o_0806,ReactSignUp,high,low,1,1223,0,729,9.343345165252686,4.0,3.99
solution_documentation,BusinessFunctionality,React,GPT4o_0806,ToDoApp_ReactJS,high,avg,1,3219,0,685,12.495656967163086,3.68,4.0
solution_documentation,BusinessFunctionality,Angular,GPT4o_0806,AngularCosmoPage,avg,high,1,5382,0,853,9.857578992843628,2.91,4.0
solution_migration,ReactToAngular,React,GPT4o_0806,ToDoApp_ReactJS,high,avg,1,3269,0,2553,51.12148928642273,4.0,2.65
solution_migration,jQueryToReact,jQuery,GPT4o_0806,ToDoApp_jQuery,high,low,1,2343,0,4167,62.00321578979492,4.0,4.0
solution_migration,AngularToReact,Angular,GPT4o_0806,AngularCosmoPage,avg,high,1,5413,0,1609,18.64054799079895,4.0,3.0
solution_migration,UpdateReact,React,GPT4o_0806,ToDoApp_ReactJS,high,avg,1,3258,0,2463,45.612797021865845,4.0,4.0
solution_migration,UpdateAngular,Angular,GPT4o_0806,ToDoApp_AngularJS,avg,avg_2,1,2275,0,1553,24.775540828704838,3.38,2.8
solution_migration,ReactToAngular,React,GPT4o_0806,ReactSignUp,high,low,1,1273,0,1336,17.223192930221558,2.35,2.73
solution_migration,VanillaToReact,NativeJS,GPT4o_0806,Piano_NativeJS,high,low,1,1402,0,1764,26.329933881759644,4.0,4.0
solution_template_generation,GenerateProjectConfiguration,none,GPT4o_0806,none,none,none,1,132,0,811,11.745227813720703,,
test_generation,WriteTestsForLegacyCode,React,GPT4o_0806,ReactSignUp,high,low,1,1230,0,947,12.285922050476074,2.73,2.32
test_generation,WriteTestsForLegacyCode,React,GPT4o_0806,ToDoApp_ReactJS,high,avg,1,3226,0,1806,32.96827483177185,4.0,4.0
test_generation,WriteTestsForLegacyCode,Angular,GPT4o_0806,AngularCosmoPage,avg,high,1,5389,0,1076,11.98390507698059,2.04,1.9
test_generation,WriteTestsForActualCode,React,GPT4o_0806,ReactSelect,extra_high,high,1,15764,0,1204,18.690341234207157,4.0,1.88
