metric,score,weighted_score,is_confident,score_5,category,experiment,repository,scenario_id,score_4,score_3,score_2
accuracy,5,5.0,True,1.0,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,,,
completeness,5,5.0,True,1.0,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,,,
accuracy,5,5.0,True,1.0,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,,,
completeness,5,5.0,True,1.0,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,,,
accuracy,5,5.0,True,1.0,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,,,
completeness,5,5.0,True,1.0,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,,,
accuracy,5,5.0,True,1.0,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,,,
completeness,5,5.0,True,1.0,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,,,
accuracy,4,3.97,True,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,0.97,0.03,
completeness,4,4.09,True,0.09,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,0.91,,
accuracy,5,5.0,True,1.0,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,,,
completeness,5,5.0,True,1.0,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,,,
accuracy,5,5.0,True,1.0,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,,,
completeness,5,5.0,True,1.0,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,,,
accuracy,5,5.0,True,1.0,GenerateBaseComponent,component_generation,,1,,,
completeness,5,5.0,True,1.0,GenerateBaseComponent,component_generation,,1,,,
accuracy,5,4.92,True,0.92,GenerateReactApp,component_generation,,2,0.08,,
completeness,4,4.0,True,,GenerateReactApp,component_generation,,2,1.0,,
accuracy,5,5.0,True,1.0,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,,,
completeness,5,4.99,True,0.99,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,0.01,,
accuracy,5,5.0,True,1.0,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,,,
completeness,5,5.0,True,1.0,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,,,
accuracy,4,4.0,True,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,1.0,,
completeness,4,4.2,False,0.24,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,0.75,,
accuracy,5,5.0,True,1.0,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,,,
completeness,4,4.0,True,,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,1.0,,
accuracy,5,5.0,True,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,,,
completeness,5,5.0,True,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,,,
accuracy,5,5.0,True,1.0,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,,,
completeness,5,5.0,True,1.0,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,,,
accuracy,5,5.0,True,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,,,
completeness,5,5.0,True,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,,,
accuracy,4,4.27,False,0.27,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,0.73,,
completeness,4,3.82,False,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,0.82,0.18,
accuracy,3,3.08,True,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,0.08,0.92,
completeness,4,4.0,True,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,1.0,,
accuracy,5,5.0,True,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,,,
completeness,5,5.0,True,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,,,
accuracy,4,3.98,True,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,0.98,0.02,
completeness,3,3.27,False,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,0.27,0.73,
accuracy,5,5.0,True,1.0,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,,,
completeness,3,3.0,True,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,0.01,0.98,0.01
accuracy,3,2.92,False,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,0.01,0.9,0.09
completeness,2,2.02,True,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,,0.02,0.98
accuracy,4,4.0,True,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,1.0,,
completeness,3,3.03,True,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,0.01,0.99,0.01
