Experiment,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness
code_analysis,EvaluateCodeQuality,React,GPT4o_mini_0718,ReactSignUp,high,low,1,1347,0,1096,22.062787771224976,2.82,2.62
code_analysis,EvaluateCodeQuality,React,GPT4o_mini_0718,ToDoApp_ReactJS,high,avg,1,3343,0,1005,18.04067301750183,4.0,4.0
code_analysis,EvaluateCodeQuality,Angular,GPT4o_mini_0718,AngularCosmoPage,avg,high,1,5506,0,1243,16.389843940734863,2.95,4.0
code_explanation,DescribeTechnicalImplementation,Angular,GPT4o_mini_0718,AngularCosmoPage,avg,high,1,5460,0,852,19.3629949092865,4.0,1.97
code_explanation,DescribeTechnicalImplementation,React,GPT4o_mini_0718,ReactSignUp,high,low,1,1301,0,678,12.69399118423462,4.0,2.18
code_explanation,DescribeTechnicalImplementation,React,GPT4o_mini_0718,ToDoApp_ReactJS,high,avg,1,3297,0,1002,14.26784062385559,4.0,4.0
component_generation,ModifyReactApp,React,GPT4o_mini_0718,ReactFetchAPI,avg,low,1,379,0,367,5.883073091506958,4.0,4.0
component_generation,GenerateBaseComponent,none,GPT4o_mini_0718,none,none,none,1,199,0,855,13.310420036315918,3.0,3.0
component_generation,GenerateReactApp,none,GPT4o_mini_0718,none,none,none,1,188,0,609,9.112064123153688,3.32,4.0
solution_documentation,BusinessFunctionality,React,GPT4o_mini_0718,ReactSignUp,high,low,1,1223,0,709,10.336864948272703,1.99,4.0
solution_documentation,BusinessFunctionality,React,GPT4o_mini_0718,ToDoApp_ReactJS,high,avg,1,3219,0,817,18.66715097427368,3.01,3.02
solution_documentation,BusinessFunctionality,Angular,GPT4o_mini_0718,AngularCosmoPage,avg,high,1,5382,0,897,17.109575986862183,4.0,4.0
solution_migration,ReactToAngular,React,GPT4o_mini_0718,ToDoApp_ReactJS,high,avg,1,3269,0,2324,65.486976146698,3.85,4.0
solution_migration,jQueryToReact,jQuery,GPT4o_mini_0718,ToDoApp_jQuery,high,low,1,2343,0,1818,42.39169597625733,4.0,3.01
solution_migration,AngularToReact,Angular,GPT4o_mini_0718,AngularCosmoPage,avg,high,1,5413,0,922,11.513659000396729,4.0,0.96
solution_migration,UpdateReact,React,GPT4o_mini_0718,ToDoApp_ReactJS,high,avg,1,3258,0,1589,26.34894061088562,4.0,1.88
solution_migration,UpdateAngular,Angular,GPT4o_mini_0718,ToDoApp_AngularJS,avg,avg_2,1,2275,0,1861,39.45292782783508,1.94,1.73
solution_migration,ReactToAngular,React,GPT4o_mini_0718,ReactSignUp,high,low,1,1273,0,1274,16.365556955337524,2.08,4.0
solution_migration,VanillaToReact,NativeJS,GPT4o_mini_0718,Piano_NativeJS,high,low,1,1402,0,1732,30.198575973510746,4.0,4.0
solution_template_generation,GenerateProjectConfiguration,none,GPT4o_mini_0718,none,none,none,1,132,0,811,11.267734050750732,,
test_generation,WriteTestsForLegacyCode,React,GPT4o_mini_0718,ReactSignUp,high,low,1,1230,0,899,14.191856861114502,2.91,1.94
test_generation,WriteTestsForLegacyCode,React,GPT4o_mini_0718,ToDoApp_ReactJS,high,avg,1,3226,0,1457,18.84129500389099,1.95,1.04
test_generation,WriteTestsForLegacyCode,Angular,GPT4o_mini_0718,AngularCosmoPage,avg,high,1,5389,0,1104,21.571820974349976,1.88,0.9
test_generation,WriteTestsForActualCode,React,GPT4o_mini_0718,ReactSelect,extra_high,high,1,15764,0,877,15.140697717666626,3.0,3.08
