Experiment,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness
code_analysis,EvaluateCodeQuality,React,Gemini_1206,ReactSignUp,high,low,1,1532,0,3023,70.13584017753601,4.0,4.0
code_analysis,EvaluateCodeQuality,React,Gemini_1206,ToDoApp_ReactJS,high,avg,1,3892,0,4820,111.8323802947998,4.0,4.0
code_analysis,EvaluateCodeQuality,Angular,Gemini_1206,AngularCosmoPage,avg,high,1,6432,0,6735,155.8716127872467,4.0,4.0
code_explanation,DescribeTechnicalImplementation,Angular,Gemini_1206,AngularCosmoPage,avg,high,1,6380,0,1256,190.0488293170929,4.0,2.01
code_explanation,DescribeTechnicalImplementation,React,Gemini_1206,ReactSignUp,high,low,1,1480,0,442,189.75237607955933,1.73,0.0
code_explanation,DescribeTechnicalImplementation,React,Gemini_1206,ToDoApp_ReactJS,high,avg,1,3840,0,612,190.0773088932037,4.0,0.82
component_generation,ModifyReactApp,React,Gemini_1206,ReactFetchAPI,avg,low,1,416,0,421,10.929929971694946,4.0,4.0
component_generation,GenerateBaseComponent,none,Gemini_1206,none,none,none,1,201,0,1337,31.817430019378666,4.0,4.0
component_generation,GenerateReactApp,none,Gemini_1206,none,none,none,1,192,0,830,20.27984595298767,4.0,4.0
solution_documentation,BusinessFunctionality,React,Gemini_1206,ReactSignUp,high,low,1,1395,0,1114,29.17497682571411,4.0,4.0
solution_documentation,BusinessFunctionality,React,Gemini_1206,ToDoApp_ReactJS,high,avg,1,3755,0,1034,25.01417303085327,3.12,2.99
solution_documentation,BusinessFunctionality,Angular,Gemini_1206,AngularCosmoPage,avg,high,1,6295,0,1210,31.68427276611328,2.0,4.0
solution_migration,ReactToAngular,React,Gemini_1206,ToDoApp_ReactJS,high,avg,1,3817,0,3201,75.50736498832703,3.03,4.0
solution_migration,AngularToReact,Angular,Gemini_1206,AngularCosmoPage,avg,high,1,6338,0,8024,186.73862719535828,4.0,4.0
solution_migration,UpdateAngular,Angular,Gemini_1206,ToDoApp_AngularJS,avg,avg_2,1,2591,0,4574,106.21286869049072,4.0,4.0
solution_migration,VanillaToReact,NativeJS,Gemini_1206,Piano_NativeJS,high,low,1,1598,0,3328,78.94059419631958,4.0,4.0
solution_migration,jQueryToReact,jQuery,Gemini_1206,ToDoApp_jQuery,high,low,1,2766,0,3705,86.74138116836548,4.0,4.0
solution_migration,ReactToAngular,React,Gemini_1206,ReactSignUp,high,low,1,1457,0,1749,41.02552604675293,4.0,3.02
solution_migration,UpdateReact,React,Gemini_1206,ToDoApp_ReactJS,high,avg,1,3807,0,3946,91.65194582939148,4.0,4.0
solution_template_generation,GenerateProjectConfiguration,none,Gemini_1206,none,none,none,1,126,0,2989,70.72736382484436,,
test_generation,WriteTestsForLegacyCode,React,Gemini_1206,ReactSignUp,high,low,1,1409,0,1983,47.008601903915405,2.08,3.22
test_generation,WriteTestsForLegacyCode,React,Gemini_1206,ToDoApp_ReactJS,high,avg,1,3769,0,1278,30.343907117843628,2.99,0.5
test_generation,WriteTestsForLegacyCode,Angular,Gemini_1206,AngularCosmoPage,avg,high,1,6309,0,4247,97.33238983154295,1.95,0.98
test_generation,WriteTestsForActualCode,React,Gemini_1206,ReactSelect,extra_high,high,1,18138,0,8192,193.4551527500153,4.0,4.0
