Experiment,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness
code_analysis,EvaluateCodeQuality,React,Gemini_20_Flash_Think_0121,ReactSignUp,high,low,1,1532,0,6774,31.787160634994507,4.0,4.0
code_analysis,EvaluateCodeQuality,React,Gemini_20_Flash_Think_0121,ToDoApp_ReactJS,high,avg,1,3892,0,6681,33.85094404220581,4.0,4.0
code_analysis,EvaluateCodeQuality,Angular,Gemini_20_Flash_Think_0121,AngularCosmoPage,avg,high,1,6432,0,7288,37.25665307044983,3.99,4.0
code_explanation,DescribeTechnicalImplementation,Angular,Gemini_20_Flash_Think_0121,AngularCosmoPage,avg,high,1,6380,0,7228,28.60450005531311,4.0,1.95
code_explanation,DescribeTechnicalImplementation,React,Gemini_20_Flash_Think_0121,ReactSignUp,high,low,1,1480,0,2882,17.131190061569214,1.38,0.38
code_explanation,DescribeTechnicalImplementation,React,Gemini_20_Flash_Think_0121,ToDoApp_ReactJS,high,avg,1,3840,0,4953,27.36164879798889,4.0,4.0
component_generation,ModifyReactApp,React,Gemini_20_Flash_Think_0121,ReactFetchAPI,avg,low,1,416,0,530,8.87219786643982,4.0,4.0
component_generation,GenerateBaseComponent,none,Gemini_20_Flash_Think_0121,none,none,none,1,201,0,1866,12.57378888130188,4.0,4.0
component_generation,GenerateReactApp,none,Gemini_20_Flash_Think_0121,none,none,none,1,192,0,318,3.630916118621826,3.02,3.0
solution_documentation,BusinessFunctionality,React,Gemini_20_Flash_Think_0121,ReactSignUp,high,low,1,1395,0,1275,15.561161994934082,3.38,3.01
solution_documentation,BusinessFunctionality,React,Gemini_20_Flash_Think_0121,ToDoApp_ReactJS,high,avg,1,3755,0,1453,17.565979957580566,3.18,3.01
solution_documentation,BusinessFunctionality,Angular,Gemini_20_Flash_Think_0121,AngularCosmoPage,avg,high,1,6295,0,1464,17.126591205596924,4.0,4.0
solution_migration,ReactToAngular,React,Gemini_20_Flash_Think_0121,ToDoApp_ReactJS,high,avg,1,3817,0,4702,17.58609390258789,4.0,4.0
solution_migration,jQueryToReact,jQuery,Gemini_20_Flash_Think_0121,ToDoApp_jQuery,high,low,1,2766,0,3361,15.968738794326782,4.0,4.0
solution_migration,AngularToReact,Angular,Gemini_20_Flash_Think_0121,AngularCosmoPage,avg,high,1,6338,0,7564,29.193529844284058,4.0,4.0
solution_migration,UpdateReact,React,Gemini_20_Flash_Think_0121,ToDoApp_ReactJS,high,avg,1,3807,0,3825,15.331892013549805,4.0,4.0
solution_migration,UpdateAngular,Angular,Gemini_20_Flash_Think_0121,ToDoApp_AngularJS,avg,avg_2,1,2591,0,6425,26.242817163467407,4.0,4.0
solution_migration,ReactToAngular,React,Gemini_20_Flash_Think_0121,ReactSignUp,high,low,1,1457,0,3893,17.952212810516357,3.01,3.27
solution_migration,VanillaToReact,NativeJS,Gemini_20_Flash_Think_0121,Piano_NativeJS,high,low,1,1598,0,5238,23.65023803710937,4.0,4.0
solution_template_generation,GenerateProjectConfiguration,none,Gemini_20_Flash_Think_0121,none,none,none,1,126,0,833,7.970936775207519,4.0,4.0
test_generation,WriteTestsForLegacyCode,React,Gemini_20_Flash_Think_0121,ReactSignUp,high,low,1,1409,0,2946,14.641456127166748,2.94,3.56
test_generation,WriteTestsForLegacyCode,React,Gemini_20_Flash_Think_0121,ToDoApp_ReactJS,high,avg,1,3769,0,6822,29.11114525794983,2.32,4.0
test_generation,WriteTestsForLegacyCode,Angular,Gemini_20_Flash_Think_0121,AngularCosmoPage,avg,high,1,6309,0,6213,26.436108827590942,2.01,3.18
test_generation,WriteTestsForActualCode,React,Gemini_20_Flash_Think_0121,ReactSelect,extra_high,high,1,18138,0,5123,26.18484306335449,4.0,4.0
