metric,score,weighted_score,is_confident,score_4,score_3,category,experiment,repository,scenario_id,score_5,score_2,score_1
accuracy,4,3.95,True,0.95,0.05,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,,,
completeness,4,4.0,True,1.0,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,,,
accuracy,5,5.0,True,,,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,1.0,,
completeness,5,5.0,True,,,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,1.0,,
accuracy,4,4.0,True,0.92,0.04,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,0.04,,
completeness,5,5.0,True,,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,1.0,,
accuracy,5,5.0,True,1.0,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17
completeness,5,5.0,True,1.0,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17
accuracy,5,5.0,True,,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,1.0,,
completeness,4,3.82,False,0.82,0.18,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,,,
accuracy,5,5.0,True,,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,1.0,,
completeness,5,5.0,True,,,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,1.0,,
accuracy,5,5.0,True,,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,1.0,,
completeness,5,5.0,True,,,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,1.0,,
accuracy,5,5.0,True,,,GenerateBaseComponent,component_generation,,1,1.0,,
completeness,5,5.0,True,,,GenerateBaseComponent,component_generation,,1,1.0,,
accuracy,4,4.0,True,1.0,,GenerateReactApp,component_generation,,2,,,
completeness,5,5.0,True,,,GenerateReactApp,component_generation,,2,1.0,,
accuracy,5,5.0,True,,,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,1.0,,
completeness,5,4.96,True,0.04,,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,0.96,,
accuracy,5,5.0,True,,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,1.0,,
completeness,5,5.0,True,,,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,1.0,,
accuracy,4,4.13,False,0.87,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,0.13,,
completeness,5,5.0,True,,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,1.0,,
accuracy,5,4.68,False,0.32,,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,0.68,,
completeness,5,5.0,True,,,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,1.0,,
accuracy,5,5.0,True,,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,1.0,,
completeness,5,5.0,True,,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,1.0,,
accuracy,5,5.0,True,,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,1.0,,
completeness,5,5.0,True,,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,1.0,,
accuracy,5,5.0,True,,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,1.0,,
completeness,5,5.0,True,,,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,1.0,,
accuracy,5,4.68,False,0.32,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,0.68,,
completeness,4,4.0,True,1.0,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,,,
accuracy,5,4.73,False,0.27,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,0.73,,
completeness,4,4.08,True,0.92,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,0.08,,
accuracy,5,5.0,True,,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,1.0,,
completeness,5,5.0,True,,,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,1.0,,
accuracy,5,5.0,True,,,GenerateProjectConfiguration,solution_template_generation,,24,1.0,,
completeness,5,5.0,True,,,GenerateProjectConfiguration,solution_template_generation,,24,1.0,,
accuracy,3,2.99,True,,0.99,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,,0.01,
completeness,4,4.44,False,0.56,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,0.44,,
accuracy,4,4.15,False,0.85,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,0.15,,
completeness,1,1.06,True,,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,,0.06,0.94
accuracy,2,2.44,False,,0.44,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,,0.56,
completeness,2,2.5,False,,0.5,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,,0.5,
accuracy,5,5.0,True,,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,1.0,,
completeness,5,5.0,True,,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,1.0,,
