metric,score,weighted_score,is_confident,score_5,category,experiment,repository,scenario_id,score_4,score_3,score_2,score_1
accuracy,5,5.0,True,1.0,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,,,,
completeness,4,4.0,True,,EvaluateCodeQuality_ReactSignUp_high_low,code_analysis,react_sign_up,22,1.0,,,
accuracy,4,3.98,True,0.02,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,0.97,,,
completeness,5,5.0,True,1.0,EvaluateCodeQuality_ToDoApp_ReactJS_high_avg,code_analysis,todo_app_react,21,,,,
accuracy,3,3.0,True,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,,1.0,,
completeness,3,2.98,True,,EvaluateCodeQuality_AngularCosmoPage_avg_high,code_analysis,angular_cosmo_page,20,,0.98,0.02,
accuracy,5,5.0,True,1.0,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,,,,
completeness,5,5.0,True,1.0,DescribeTechnicalImplementation_AngularCosmoPage_avg_high,code_explanation,angular_cosmo_page,17,,,,
accuracy,5,5.0,True,1.0,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,,,,
completeness,3,3.38,False,,DescribeTechnicalImplementation_ReactSignUp_high_low,code_explanation,react_sign_up,19,0.38,0.62,,
accuracy,5,5.0,True,1.0,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,,,,
completeness,5,5.0,True,1.0,DescribeTechnicalImplementation_ToDoApp_ReactJS_high_avg,code_explanation,todo_app_react,18,,,,
accuracy,5,5.0,True,1.0,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,,,,
completeness,5,5.0,True,1.0,ModifyReactApp_ReactFetchAPI_avg_low,component_generation,,3,,,,
accuracy,5,5.0,True,1.0,GenerateBaseComponent,component_generation,,1,,,,
completeness,5,5.0,True,1.0,GenerateBaseComponent,component_generation,,1,,,,
accuracy,5,4.62,False,0.62,GenerateReactApp,component_generation,,2,0.38,,,
completeness,4,4.0,True,,GenerateReactApp,component_generation,,2,1.0,,,
accuracy,4,4.27,False,0.27,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,0.73,,,
completeness,5,5.0,True,1.0,BusinessFunctionality_ReactSignUp_high_low,solution_documentation,react_sign_up,16,,,,
accuracy,5,5.0,True,1.0,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,,,,
completeness,5,5.0,True,1.0,BusinessFunctionality_ToDoApp_ReactJS_high_avg,solution_documentation,todo_app_react,15,,,,
accuracy,3,2.97,True,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,,0.99,,
completeness,3,3.06,True,,BusinessFunctionality_AngularCosmoPage_avg_high,solution_documentation,angular_cosmo_page,14,0.07,0.92,0.01,
accuracy,3,3.02,True,,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,0.03,0.96,0.01,
completeness,3,3.29,False,,ReactToAngular_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,08,0.29,0.71,,
accuracy,5,5.0,True,1.0,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,,,,
completeness,4,3.73,False,,jQueryToReact_ToDoApp_jQuery_high_low,solution_migration,todo_app_jquery,13,0.73,0.27,,
accuracy,4,4.01,True,0.01,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,0.99,,,
completeness,4,4.0,True,,AngularToReact_AngularCosmoPage_avg_high,solution_migration,angular_cosmo_page,7,1.0,,,
accuracy,5,5.0,True,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,,,,
completeness,5,5.0,True,1.0,UpdateReact_ToDoApp_ReactJS_high_avg,solution_migration,todo_app_react,11,,,,
accuracy,4,3.82,False,,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,0.82,0.18,,
completeness,4,4.03,True,0.03,UpdateAngular_ToDoApp_AngularJS_avg_avg_2,solution_migration,todo_app_angular,10,0.97,,,
accuracy,3,3.5,False,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,0.5,0.5,,
completeness,4,4.0,True,,ReactToAngular_ReactSignUp_high_low,solution_migration,react_sign_up,09,1.0,,,
accuracy,5,5.0,True,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,,,,
completeness,5,5.0,True,1.0,VanillaToReact_Piano_NativeJS_high_low,solution_migration,piano_native_js,12,,,,
accuracy,5,5.0,True,1.0,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,,,,
completeness,3,3.18,False,,WriteTestsForLegacyCode_ReactSignUp_high_low,test_generation,react_sign_up,6,0.18,0.82,,
accuracy,4,4.01,True,0.01,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,0.99,,,
completeness,1,1.27,False,,WriteTestsForLegacyCode_ToDoApp_ReactJS_high_avg,test_generation,todo_app_react,5,,,0.27,0.73
accuracy,3,2.98,True,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,0.01,0.98,,
completeness,2,1.94,True,,WriteTestsForLegacyCode_AngularCosmoPage_avg_high,test_generation,angular_cosmo_page,4,,,0.94,0.06
accuracy,5,5.0,True,1.0,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,,,,
completeness,3,2.88,False,,WriteTestsForActualCode_ReactSelect_extra_high_high,test_generation,react_select,23,,0.88,0.12,
