Experiment,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness
code_analysis,EvaluateCodeQuality,React,OpenAi_o1_0912,ReactSignUp,high,low,1,1403,4992,8058,90.11311888694765,4.0,4.0
code_analysis,EvaluateCodeQuality,React,OpenAi_o1_0912,ToDoApp_ReactJS,high,avg,1,3465,4224,6912,97.22778606414796,4.0,4.0
code_analysis,EvaluateCodeQuality,Angular,OpenAi_o1_0912,AngularCosmoPage,avg,high,1,5613,6400,10057,104.5800838470459,3.85,4.0
code_explanation,DescribeTechnicalImplementation,Angular,OpenAi_o1_0912,AngularCosmoPage,avg,high,1,5558,960,3684,41.09403967857361,4.0,2.27
code_explanation,DescribeTechnicalImplementation,React,OpenAi_o1_0912,ReactSignUp,high,low,1,1348,576,2535,20.985785961151123,2.88,4.0
code_explanation,DescribeTechnicalImplementation,React,OpenAi_o1_0912,ToDoApp_ReactJS,high,avg,1,3410,2752,5357,183.0437297821045,4.0,4.0
component_generation,ModifyReactApp,React,OpenAi_o1_0912,ReactFetchAPI,avg,low,1,363,1472,1822,16.989337682724,4.0,4.0
component_generation,GenerateBaseComponent,none,OpenAi_o1_0912,none,none,none,1,168,2176,3407,146.6553030014038,4.0,4.0
component_generation,GenerateReactApp,none,OpenAi_o1_0912,none,none,none,1,158,2304,3136,36.585330963134766,3.38,4.0
solution_documentation,BusinessFunctionality,React,OpenAi_o1_0912,ReactSignUp,high,low,1,1270,2624,4378,40.49599003791809,4.0,3.27
solution_documentation,BusinessFunctionality,React,OpenAi_o1_0912,ToDoApp_ReactJS,high,avg,1,3332,896,2359,17.857861042022705,3.0,4.0
solution_documentation,BusinessFunctionality,Angular,OpenAi_o1_0912,AngularCosmoPage,avg,high,1,5480,1728,3369,30.00717711448669,2.97,4.0
solution_migration,ReactToAngular,React,OpenAi_o1_0912,ToDoApp_ReactJS,high,avg,1,3368,9728,13374,634.9657258987427,4.0,4.0
solution_migration,jQueryToReact,jQuery,OpenAi_o1_0912,ToDoApp_jQuery,high,low,1,2350,5120,7638,83.3916187286377,4.0,4.0
solution_migration,AngularToReact,Angular,OpenAi_o1_0912,AngularCosmoPage,avg,high,1,5498,7296,10452,111.05963015556335,4.0,1.22
solution_migration,UpdateReact,React,OpenAi_o1_0912,ToDoApp_ReactJS,high,avg,1,3358,6720,9514,651.3248898983002,4.0,4.0
solution_migration,UpdateAngular,Angular,OpenAi_o1_0912,ToDoApp_AngularJS,avg,avg_2,1,2401,6144,9592,87.00236392021179,3.99,4.0
solution_migration,ReactToAngular,React,OpenAi_o1_0912,ReactSignUp,high,low,1,1306,5632,6774,71.02434587478638,3.96,3.0
solution_migration,VanillaToReact,NativeJS,OpenAi_o1_0912,Piano_NativeJS,high,low,1,1423,6400,9088,79.53744602203369,4.0,4.0
solution_template_generation,GenerateProjectConfiguration,none,OpenAi_o1_0912,none,none,none,1,95,2048,3336,45.01711082458496,,
test_generation,WriteTestsForLegacyCode,React,OpenAi_o1_0912,ReactSignUp,high,low,1,1259,6336,8047,62.99970769882202,3.01,3.07
test_generation,WriteTestsForLegacyCode,React,OpenAi_o1_0912,ToDoApp_ReactJS,high,avg,1,3321,5376,11503,99.20501899719238,4.0,4.0
test_generation,WriteTestsForLegacyCode,Angular,OpenAi_o1_0912,AngularCosmoPage,avg,high,1,5469,3072,5776,55.75693488121033,1.82,1.99
test_generation,WriteTestsForActualCode,React,OpenAi_o1_0912,ReactSelect,extra_high,high,1,15993,704,3471,41.842382192611694,4.0,3.0
