Experiment,Category,Language,Models,Dataset,Complexity,Size,Attempt,Input,Reasons,Output,Time,Accuracy,Completeness
code_analysis,EvaluateCodeQuality,React,Qwen25Coder32B,ReactSignUp,high,low,1,1304,0,1167,12.33952808380127,3.32,4.0
code_analysis,EvaluateCodeQuality,React,Qwen25Coder32B,ToDoApp_ReactJS,high,avg,1,3252,0,1289,13.204905986785889,4.0,4.0
code_analysis,EvaluateCodeQuality,Angular,Qwen25Coder32B,AngularCosmoPage,avg,high,1,5442,0,1458,16.22984790802002,1.85,4.0
code_explanation,DescribeTechnicalImplementation,Angular,Qwen25Coder32B,AngularCosmoPage,avg,high,1,5395,0,1138,13.35969591140747,4.0,3.38
code_explanation,DescribeTechnicalImplementation,React,Qwen25Coder32B,ReactSignUp,high,low,1,1257,0,747,8.555680990219116,3.0,1.99
code_explanation,DescribeTechnicalImplementation,React,Qwen25Coder32B,ToDoApp_ReactJS,high,avg,1,3205,0,1418,14.815996885299684,4.0,4.0
component_generation,ModifyReactApp,React,Qwen25Coder32B,ReactFetchAPI,avg,low,1,374,0,368,4.203849792480469,4.0,2.92
component_generation,GenerateBaseComponent,none,Qwen25Coder32B,none,none,none,1,200,0,820,8.741105318069458,3.05,3.08
component_generation,GenerateReactApp,none,Qwen25Coder32B,none,none,none,1,189,0,214,2.5541868209838867,3.0,4.0
solution_documentation,BusinessFunctionality,React,Qwen25Coder32B,ReactSignUp,high,low,1,1180,0,653,7.34243106842041,4.0,3.92
solution_documentation,BusinessFunctionality,React,Qwen25Coder32B,ToDoApp_ReactJS,high,avg,1,3128,0,836,9.045849084854126,3.01,3.01
solution_documentation,BusinessFunctionality,Angular,Qwen25Coder32B,AngularCosmoPage,avg,high,1,5318,0,842,9.27759575843811,4.0,4.0
solution_migration,ReactToAngular,React,Qwen25Coder32B,ToDoApp_ReactJS,high,avg,1,3178,0,2768,29.030800819396973,4.0,3.0
solution_migration,jQueryToReact,jQuery,Qwen25Coder32B,ToDoApp_jQuery,high,low,1,2335,0,2385,25.66920185089112,4.0,4.0
solution_migration,AngularToReact,Angular,Qwen25Coder32B,AngularCosmoPage,avg,high,1,5351,0,4096,42.76145005226135,4.0,4.0
solution_migration,UpdateReact,React,Qwen25Coder32B,ToDoApp_ReactJS,high,avg,1,3169,0,2814,29.837937116622925,4.0,4.0
solution_migration,UpdateAngular,Angular,Qwen25Coder32B,ToDoApp_AngularJS,avg,avg_2,1,2262,0,2631,27.213762044906616,2.91,4.0
solution_migration,ReactToAngular,React,Qwen25Coder32B,ReactSignUp,high,low,1,1230,0,1220,13.716891050338743,2.18,3.0
solution_migration,VanillaToReact,NativeJS,Qwen25Coder32B,Piano_NativeJS,high,low,1,1351,0,1866,19.81461787223816,4.0,4.0
solution_template_generation,GenerateProjectConfiguration,none,Qwen25Coder32B,none,none,none,1,132,0,1418,14.995996236801147,,
test_generation,WriteTestsForLegacyCode,React,Qwen25Coder32B,ReactSignUp,high,low,1,1186,0,1191,13.327124118804932,2.97,3.06
test_generation,WriteTestsForLegacyCode,React,Qwen25Coder32B,ToDoApp_ReactJS,high,avg,1,3134,0,2491,25.980997800827023,4.0,2.97
test_generation,WriteTestsForLegacyCode,Angular,Qwen25Coder32B,AngularCosmoPage,avg,high,1,5324,0,2399,25.3196029663086,2.75,0.92
test_generation,WriteTestsForActualCode,React,Qwen25Coder32B,ReactSelect,extra_high,high,1,15429,0,4096,43.69877505302429,4.0,2.98
